GSE,Title,Summary,Overall_design,PubMed_ID
GSE46435,Scleral miRNA profiles in adult and fetal eyes,"Introduction: In human eyes, ocular enlargement/ growth, reflects active scleral extracellular matrix remodeling. miRNAs are small non-coding RNAs that regulate gene expression by base pairing with target sequences, and serve as nodes of signaling networks. We hypothesized that the sclera, like most tissues, expresses miRNAs, some of which modulate genes regulating ocular growth. In this study, the scleral miRNA expression profile of rapidly growing human fetal eyes was compared with that of stable adult donor eyes using high-throughput microarray and quantitative PCR analyses.  Results: Human sclera expressed several miRNAs. Microarray comparison of adult and fetal samples revealed many to be differentially expressed (p<0.01, min p= 6.5x10^11), with increased expression of collagen specific mir-214, let-7c, let-7e, mir-103, mir-107, and mir-98 in fetal sclera subsequently confirmed (1.5 to 4 fold changes, p<0.01). For both adult and fetal samples, no significant differences in miRNA expression profiles of sclera from posterior and peripheral ocular regions were observed.   Conclusion: This is the first study to catalogue miRNA expression in human sclera. The sclera expresses several miRNAs, some of which show age-related differential regulation, higher in rapidly growing fetal eyes, consistent with a role in ocular growth regulation. These findings may be useful for linking scleral miRNA expression with potential manipulation in disorders such as scleral ectasia/ axial myopia.","Scleral samples from normal human fetal (24 wk) and normal adult donor eyes (n=4 to 6, each group) were obtained, and RNA extracted. Genome-wide miRNA profiling was performed using the Agilent miRNA microarray platform. miRNA target predictions were obtained using Microcosm, TargetScan and PicTar algorithms.",24205357
GSE200049,Genome-wide analysis of microRNA-mRNA gene regulatory networks reveals widespread involvement of microRNAs in visually guided eye emmetropization and myopia [miRNA sclera],"During postnatal development, the optical geometry of the eye is refined through a process called emmetropization. During eye emmetropization, optical defocus triggers a signaling cascade that originates in the retina, propagates across other ocular tissues and results in scleral wall remodeling. This signaling is associated with large-scale changes in gene expression, which was extensively studied at the mRNA level. Although several studies investigated the role of non-coding RNAs in eye emmetropization, the role of microRNAs (miRNAs) and other non-coding RNAs remains poorly understood. We performed a genome-wide analysis of the miRNA-mRNA gene regulatory networks underlying optical-defocus-induced myopia using massive parallel RNA sequencing (RNA-seq). Our analysis revealed a widespread involvement of miRNAs in optical defocus perception and visually guided eye emmetropization underlying myopia development. We found that a relatively small number of miRNAs (39 miRNAs total) regulate expression of over 450 mRNAs, or 59% of all mRNAs differentially expressed in the eyes of mice with optical-defocus-induced myopia.  MiRNAs were also found to be involved in the regulation of the absolute majority of the biological processes and signaling pathways underlying visually guided eye emmetropization and myopia.",Analysis of microRNA expression in the RPE/choroid/sclera of C57BL/6J mice in which myopia was induced with -20D lenses for 10 days,
GSE203619,Genome-wide analysis of gene regulatory networks in chickens reveals dynamic temporal changes in retinal signaling cascade underlying compensation to lens-imposed optical defocus [control],"During postnatal development, the optical geometry of the eye is refined through a process called emmetropization. During eye emmetropization, positive optical defocus inhibits eye growth whereas negative optical defocus accelerates it. Increased exposure to negative optical defocus leads to the development of myopia. Although several studies investigated gene regulatory networks underlying retinal response to optical defocus, temporal changes that occur during ocular response to optical defocus are poorly understood. Here, we performed a genome-wide analysis of the retinal gene regulatory networks underlying optical-defocus-induced myopia using massive parallel RNA sequencing (RNA-seq) in chickens exposed to negative optical defocus for 1, 3 and 6 days. Our analysis revealed large-scale dynamic temporal changes in the retinal signaling pathways involved in the eye鈥檚 response to negative optical defocus. We found that different sets of pathways and biological functions were involved in the early, sustained and delayed response to optical defocus causing myopia. These data refine signaling pathways that can be targeted for myopia control and provide a framework for the development of new treatment options for myopia.",Analysis of mRNA expression in the retina of a control group of chickens during a 6 day period,
GSE253960,MiR-204-5p may Regulate Oxidative Stress in Myopia and Myopia-Related Retinopathy,"Introduction: The mechanisms underlying myopia and myopia-related retinopathy remain not fully understood. We proposed to examine the function and underlying mechanisms of miR-204-5p in myopia development. Methods: The miR-204-5p expression level was assessed in the vitreous humor (VH) of a cohort consisting of 11 patients with high myopia (HM) and 16 control patients undergoing retinal surgery. The functional implications of miR-204-5p in ARPE-19 cells were assessed, encompassing cell aggressiveness. Thioredoxin-interacting protein (TXNIP) was found as a possible target of miR-204-5p through mRNA sequencing, and its interaction with miR-204-5p was confirmed employing luciferase assay and western blotting. Furthermore, the miR-204-5p function in regulating oxidative stress was examined by measuring reactive oxygen species (ROS) accumulation. Results: miR-204-5p was found to be significantly reduced in the VH of HM patients. Overexpression of miR-204-5p suppressed cell proliferation, migration, invasion, and apoptosis in ARPE-19 cells. The bioinformatics analysis demonstrated that miR-204-5p can modulate the genes associated with pathways relevant to myopia, including glycosaminoglycan (GAG) degradation, lysosome, and TGF鈭抌eta signaling pathway. The direct targeting of miR-204-5p on TXNIP has been confirmed through validation, and its downregulation mediated the miR-204-5p impacts on ARPE-19 cells. Moreover, miR-204-5p overexpression significantly reduced ROS accumulation by targeting TXNIP. Conclusion: Our findings revealed the possible contribution of the miR-204-5p/TXNIP axis in myopia development by regulating oxidative stress, which may provide new targets and novel therapeutic strategies to combat this prevalent and debilitating condition.","To investigate the possible target of miR-204-5p, we established ARPE-19 cell lines transfected with miR-204-5p or miR-NC.",
GSE200051,Genome-wide analysis of microRNA-mRNA gene regulatory networks reveals widespread involvement of microRNAs in visually guided eye emmetropization and myopia [mRNA retina],"During postnatal development, the optical geometry of the eye is refined through a process called emmetropization. During eye emmetropization, optical defocus triggers a signaling cascade that originates in the retina, propagates across other ocular tissues and results in scleral wall remodeling. This signaling is associated with large-scale changes in gene expression, which was extensively studied at the mRNA level. Although several studies investigated the role of non-coding RNAs in eye emmetropization, the role of microRNAs (miRNAs) and other non-coding RNAs remains poorly understood. We performed a genome-wide analysis of the miRNA-mRNA gene regulatory networks underlying optical-defocus-induced myopia using massive parallel RNA sequencing (RNA-seq). Our analysis revealed a widespread involvement of miRNAs in optical defocus perception and visually guided eye emmetropization underlying myopia development. We found that a relatively small number of miRNAs (39 miRNAs total) regulate expression of over 450 mRNAs, or 59% of all mRNAs differentially expressed in the eyes of mice with optical-defocus-induced myopia.  MiRNAs were also found to be involved in the regulation of the absolute majority of the biological processes and signaling pathways underlying visually guided eye emmetropization and myopia.",Analysis of mRNA expression in the retina of C57BL/6J mice in which myopia was induced with -20D lenses for 10 days,
GSE158732,Genome-wide analysis of retinal transcriptome reveals common genetic network underlying perception of contrast and optical defocus detection,"Refractive eye development is regulated by optical defocus in a process of emmetropization. Excessive exposure to negative optical defocus often leads to the development of myopia. However, it is still largely unknown how optical defocus is detected by the retina. Here, we used genome-wide RNA-sequencing (RNA-seq) to conduct analysis of the retinal genetic networks underlying contrast perception and refractive eye development. We report that the genetic network subserving contrast perception plays an important role in optical defocus detection and emmetropization. Our results demonstrate an interaction between contrast perception, the retinal circadian clock pathway and the signaling pathway underlying optical defocus detection. We also observe that the relative majority of genes causing human myopia are involved in the processing of optical defocus. Together, our results support the hypothesis that optical defocus is perceived by the retina using contrast as a proxy and provide new insights into molecular signaling underlying refractive eye development.","Analysis of RNA expression in the retina of 129S1/svlmj, A/J, C57BL/6J, CAST/EiJ, NOD/ShiLtJ, NZO/HlLtJ, PWK/PhJ, and WSB/EiJ mice",
GSE200054,Genome-wide analysis of microRNA-mRNA gene regulatory networks reveals widespread involvement of microRNAs in visually guided eye emmetropization and myopia,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,
GSE78042,Gene expression across 3 days of lens-induced myopia and hyperopia induction in chick,We sequenced mRNA from 34 retina/RPE/choroid samples taken from the right eyes of male chicks across a time-course of normal development or refractive error induction (defocus-induced myopia and hyperopia).,"Examination of mRNA levels in individual retina/RPE/choroid samples across three time-points (1, 2, and 3 days) and three lens conditions (no lens, +10 diopter lens, and -10 diopter lens)",27625591
GSE203604,Genome-wide analysis of gene regulatory networks in chickens reveals dynamic temporal changes in retinal signaling cascade underlying compensation to lens-imposed optical defocus [6d],"During postnatal development, the optical geometry of the eye is refined through a process called emmetropization. During eye emmetropization, positive optical defocus inhibits eye growth whereas negative optical defocus accelerates it. Increased exposure to negative optical defocus leads to the development of myopia. Although several studies investigated gene regulatory networks underlying retinal response to optical defocus, temporal changes that occur during ocular response to optical defocus are poorly understood. Here, we performed a genome-wide analysis of the retinal gene regulatory networks underlying optical-defocus-induced myopia using massive parallel RNA sequencing (RNA-seq) in chickens exposed to negative optical defocus for 1, 3 and 6 days. Our analysis revealed large-scale dynamic temporal changes in the retinal signaling pathways involved in the eye鈥檚 response to negative optical defocus. We found that different sets of pathways and biological functions were involved in the early, sustained and delayed response to optical defocus causing myopia. These data refine signaling pathways that can be targeted for myopia control and provide a framework for the development of new treatment options for myopia.",Analysis of mRNA expression in the retina of chickens in which myopia was induced with -10D lenses for 6 days,
GSE203585,Genome-wide analysis of gene regulatory networks in chickens reveals dynamic temporal changes in retinal signaling cascade underlying compensation to lens-imposed optical defocus [3d],"During postnatal development, the optical geometry of the eye is refined through a process called emmetropization. During eye emmetropization, positive optical defocus inhibits eye growth whereas negative optical defocus accelerates it. Increased exposure to negative optical defocus leads to the development of myopia. Although several studies investigated gene regulatory networks underlying retinal response to optical defocus, temporal changes that occur during ocular response to optical defocus are poorly understood. Here, we performed a genome-wide analysis of the retinal gene regulatory networks underlying optical-defocus-induced myopia using massive parallel RNA sequencing (RNA-seq) in chickens exposed to negative optical defocus for 1, 3 and 6 days. Our analysis revealed large-scale dynamic temporal changes in the retinal signaling pathways involved in the eye鈥檚 response to negative optical defocus. We found that different sets of pathways and biological functions were involved in the early, sustained and delayed response to optical defocus causing myopia. These data refine signaling pathways that can be targeted for myopia control and provide a framework for the development of new treatment options for myopia.",Analysis of mRNA expression in the retina of chickens in which myopia was induced with -10D lenses for 3 days,
