	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
Gpr27	0.242018143206366	0.973229765844984	5.3063505174799	0.000313994459148091	0.999697470640244	-0.145759124102947	UP
Gm43888	0.268780161323309	0.690630194238494	5.04676097966133	0.000460841839410798	0.999697470640244	-0.385922233715559	UP
Ttc32	0.14429236326861	0.530020423594029	4.76571137846922	0.000705794481928981	0.999697470640244	-0.660229162523942	UP
Igfbp4	0.216436479699681	2.6111527296968	4.63571742523265	0.000862894818629411	0.999697470640244	-0.792188962604652	UP
Fcamr	-0.441763201258167	1.33748053912368	-4.63013071610584	0.000870426517579799	0.999697470640244	-0.797932447208583	DOWN
Cracr2a	-0.161460745546186	0.8484766063435	-4.61923599435317	0.000885315017607925	0.999697470640244	-0.809150034808646	DOWN
B830012L14Rik	0.129959411493997	3.50631376952508	4.57941769399276	0.000942062961468576	0.999697470640244	-0.850341013569514	UP
Vip	-0.418113149018361	1.77243457018199	-4.5299204894389	0.00101801781395485	0.999697470640244	-0.901966085548715	DOWN
Gm43547	-0.156923433983194	0.23576851126609	-4.51760474446958	0.00103790476017338	0.999697470640244	-0.914883801730133	DOWN
Tmie	-0.202911454151942	0.480275872515234	-4.41843007514124	0.0012138095105768	0.999697470640244	-1.01995704278159	DOWN
Gm10167	0.156881817453945	0.51779785684956	4.38428697786234	0.00128143050181045	0.999697470640244	-1.0565624413947	UP
Vmn2r87	-0.169558035722083	0.59931508910297	-4.37799380797611	0.00129432189741044	0.999697470640244	-1.06333351164624	DOWN
Gm14416	-0.30253118624357	1.26530797981549	-4.33492100051394	0.001386307120885	0.999697470640244	-1.1098778081803	DOWN
2310034O05Rik	0.156533907229757	0.134848301593777	4.25945014134376	0.00156447046771364	0.999697470640244	-1.19227194259574	UP
Cfh	0.251108995250003	2.28608598597113	4.24688463142314	0.00159640083688541	0.999697470640244	-1.20609361375015	UP
Nat8f3	0.22762048834495	0.401729596513652	4.2452114324738	0.00160070404912331	0.999697470640244	-1.20793630140486	UP
Flrt3	0.202569975207535	3.05336142593341	4.22705302839122	0.00164819691158449	0.999697470640244	-1.22796760408549	UP
Col8a1	0.301038429037596	2.00227146661204	4.19762853010675	0.00172832665268519	0.999697470640244	-1.26055705936592	UP
Ehbp1l1	0.158509307209607	1.31344939763958	4.14342749804006	0.00188682798628673	0.999697470640244	-1.32100704605436	UP
Dab1	0.121457927525083	3.80431485686495	4.11693273137684	0.00196979168728107	0.999697470640244	-1.35075296335872	UP
Ccdc158	0.151315569576733	0.526213576157387	4.11525383735486	0.00197517615588033	0.999697470640244	-1.35264220067569	UP
Tiam2	0.158883169727348	0.810510325063052	3.99671391451885	0.00239721684677873	0.999697470640244	-1.48732539892965	UP
Cd52	-0.188954476864055	0.156096255207031	-3.95195570766297	0.00258025022332635	0.999697470640244	-1.53883378395768	DOWN
4930402D18Rik	0.175318169407385	0.464692891145729	3.93520834459387	0.0026524421929719	0.999697470640244	-1.55819786782434	UP
Zxdc	-0.125144728793652	4.00052394843162	-3.92617990511352	0.00269223325114401	0.999697470640244	-1.56865739915048	DOWN
Thbs1	0.390347909365276	1.94034902351829	3.91828067888061	0.00272755900843332	0.999697470640244	-1.57782042780955	UP
Gm47585	0.208172454827298	1.38526421499921	3.87202778177403	0.00294435222018899	0.999697470640244	-1.63169122512537	UP
Pcbp1	0.223121234524897	2.21964463725441	3.85552925559335	0.00302597061441348	0.999697470640244	-1.65099649976707	UP
Zfp433	0.299115237195477	2.42827582447518	3.84821628474078	0.00306289949872666	0.999697470640244	-1.65956849331862	UP
Tgfbr3	0.225960618577571	1.80918270077372	3.8261474338005	0.00317721798416367	0.999697470640244	-1.68549210719429	UP
Gm12435	0.102512390520601	0.0524646209568049	3.71746796924556	0.00380866245131258	0.999697470640244	-1.81434745861629	UP
Gm43715	0.180585456233251	0.423190836607348	3.71599154177481	0.00381808815717933	0.999697470640244	-1.81611140472141	UP
Ddx4	-0.206808577395309	0.627559135049309	-3.70943555350312	0.00386023619397315	0.999697470640244	-1.82394838102227	DOWN
P2rx5	0.184948625582173	0.601165892318203	3.70506180031253	0.00388862340983035	0.999697470640244	-1.82918060797034	UP
Tgfbi	0.163777129099416	0.313926340259852	3.69448700367409	0.0039581573247557	0.999697470640244	-1.84184379064709	UP
2900005J15Rik	0.107219222091778	0.145989818470177	3.68381154149481	0.00402966413336607	0.999697470640244	-1.85464579100903	UP
Gm38259	0.216466498776842	1.15923360152525	3.67625392597254	0.00408109689600256	0.999697470640244	-1.86371992453396	UP
Dut	0.231702301577803	2.67737827808469	3.6697617779276	0.00412582281053663	0.999697470640244	-1.87152208009978	UP
Efemp2	0.145209043191321	1.76417475576769	3.66074844700461	0.00418876290305145	0.999697470640244	-1.88236527661392	UP
Reck	0.165498305524236	2.57104660343142	3.65931310701845	0.00419887749359303	0.999697470640244	-1.8840932066831	UP
Scn5a	-0.162103611279996	1.76501736067947	-3.6438079321059	0.00430976915814332	0.999697470640244	-1.90277983562123	DOWN
AC160336.1	-0.238024291299007	0.430124703836078	-3.63215813683299	0.00439508352234589	0.999697470640244	-1.91684490759276	DOWN
Col1a2	0.398469125658754	2.39686225225741	3.61651255254469	0.00451242386558682	0.999697470640244	-1.93576755669907	UP
Gm42909	0.116108782875457	0.135553037649021	3.61437182319179	0.00452872987953965	0.999697470640244	-1.9383596351635	UP
Mrc2	0.256118820255657	0.611825072773175	3.5968712039555	0.00466434436634311	0.999697470640244	-1.95957662448505	UP
Zfp97	0.184694551982735	3.08915959782082	3.59578050983663	0.00467293434446445	0.999697470640244	-1.96090049550026	UP
Gm10209	0.176638323716837	0.375974976748837	3.57912277744447	0.00480618097833803	0.999697470640244	-1.98114205821186	UP
Rpl9-ps7	0.216537603810862	1.21062034366718	3.56852164638225	0.00489302340504716	0.999697470640244	-1.994045958195	UP
Slc35f4	-0.163848637540107	1.29095703829263	-3.54974973936863	0.00505080550663745	0.999697470640244	-2.01693707099919	DOWN
Lrrc58	0.135750822937636	5.27968860853106	3.54497081492949	0.00509180789784471	0.999697470640244	-2.02277308919819	UP
Skor2	0.0958449017785727	0.219064684245614	3.54348178775425	0.00510465373835482	0.999697470640244	-2.02459218363669	NOT
Gm43813	0.1304496705942	1.77022828317371	3.50599203081637	0.00543936440406268	0.999697470640244	-2.07050013171869	UP
Snora30	-0.243653545099473	1.12179704116675	-3.50488176713051	0.00544961586027207	0.999697470640244	-2.07186284122769	DOWN
Gm17229	-0.186200789610584	1.07117847763552	-3.50405865191137	0.00545722885596203	0.999697470640244	-2.07287322760735	DOWN
Gm5576	0.131898214239112	0.401263328872812	3.48342178031804	0.00565173282572307	0.999697470640244	-2.09823731620884	UP
Sh2d4b	0.147774236022055	0.486482032617725	3.48276170410556	0.00565807094625563	0.999697470640244	-2.09904960508473	UP
Kif14	0.183717633119745	0.85707708800566	3.47417480072636	0.00574119509905615	0.999697470640244	-2.1096223101027	UP
1700003E16Rik	-0.196846458786614	1.66159505210381	-3.46760838783111	0.0058056100169925	0.999697470640244	-2.11771435123696	DOWN
Uchl3	0.120487877765482	2.49349190353665	3.4562439929744	0.00591885984158895	0.999697470640244	-2.13173354610032	UP
Gm17082	-0.120272852731796	0.814350533479776	-3.44915666913841	0.00599063876405059	0.999697470640244	-2.14048571471171	DOWN
Tbx18	0.109132228475528	0.112719885888185	3.42874176061749	0.00620245554126475	0.999697470640244	-2.16573529565204	UP
Traip	-0.195007377138473	2.59408463767831	-3.41269495132742	0.00637436035919089	0.999697470640244	-2.18562264309933	DOWN
Ccdc189	0.166020146815836	1.84246961645474	3.41002566949827	0.00640342829487116	0.999697470640244	-2.18893418182146	UP
Gm10120	0.172768229111687	0.501782214895363	3.40817276967519	0.00642368624590631	0.999697470640244	-2.19123347716025	UP
Bmpr1b	0.161452130402873	2.21122544818515	3.38632939662706	0.00666753750646633	0.999697470640244	-2.21837417272597	UP
Gm44175	-0.139069536338216	0.169553701623091	-3.38289668979074	0.00670671667333571	0.999697470640244	-2.22264516224562	DOWN
1700001G11Rik	0.126458218761775	0.08165036009617	3.37981558517905	0.00674208457168824	0.999697470640244	-2.22648001856401	UP
Gm12371	0.160001268981571	0.378340050920817	3.37670222563032	0.00677801768699534	0.999697470640244	-2.23035629696003	UP
Gm16302	0.102909647600419	0.0748806530435008	3.37333471387106	0.00681710600151946	0.999697470640244	-2.23455044727566	UP
Gm49297	-0.170849667513324	0.800361968235609	-3.35441864900956	0.00704102407442843	0.999697470640244	-2.25813754547253	DOWN
H3c11	-0.193935670838825	0.622443433396604	-3.35413391380358	0.00704445179512006	0.999697470640244	-2.25849294757803	DOWN
Gm10344	0.148458529306202	0.151090551920334	3.35083362405254	0.00708430698722603	0.999697470640244	-2.26261308357588	UP
Copz2	0.201530976032425	0.609115540190023	3.34535794194039	0.00715094484098613	0.999697470640244	-2.26945211414307	UP
Tdp2	0.169559690216773	2.98916238471912	3.3375017034748	0.00724768058293093	0.999697470640244	-2.279271138264	UP
Zfp429	0.183173097457342	0.704262628765399	3.32558942050379	0.00739693138870668	0.999697470640244	-2.2941745537043	UP
6330415B21Rik	0.132517110217688	1.72327687380949	3.31135693881488	0.00757939886131395	0.999697470640244	-2.31200420187732	UP
