ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002088	lens development in camera-type eye	20/661	97/28928	0.206185567010309	9.02350390692016	12.1041041127613	5.97423857188707e-14	2.6447954157744e-10	2.29033440829607e-10	Bfsp1/Maf/Spred1/Epha2/Crygf/Crygs/Cryba1/Crybb2/Nectin3/Cryba4/Crygd/Crygb/Fgfr2/Cryge/Slc7a11/Cryaa/Crybb1/Crybb3/Crygc/Cryba2	20
BP	GO:0043010	camera-type eye development	34/661	423/28928	0.0803782505910166	3.51767327246131	7.97666950761924	2.88896990806476e-10	6.39473489150135e-07	5.53769916061677e-07	Cfh/Col8a1/Uchl3/Bmpr1b/Ring1/Dll4/Bfsp1/Maf/Spred1/Col8a2/Ninj1/Epha2/Crygf/Crygs/Cryba1/Crybb2/Nectin3/Pdgfra/Cryba4/Crygd/Crygb/Serpinf1/Fgfr2/Nfia/Cryge/Slc7a11/Cryaa/Inhba/Crybb1/Crybb3/Crygc/Th/Cyp1b1/Cryba2	34
BP	GO:0001654	eye development	34/661	473/28928	0.0718816067653277	3.14582620349077	7.19545709302917	5.12795069801005e-09	5.65086081147208e-06	4.89352063899309e-06	Cfh/Col8a1/Uchl3/Bmpr1b/Ring1/Dll4/Bfsp1/Maf/Spred1/Col8a2/Ninj1/Epha2/Crygf/Crygs/Cryba1/Crybb2/Nectin3/Pdgfra/Cryba4/Crygd/Crygb/Serpinf1/Fgfr2/Nfia/Cryge/Slc7a11/Cryaa/Inhba/Crybb1/Crybb3/Crygc/Th/Cyp1b1/Cryba2	34
BP	GO:0150063	visual system development	34/661	476/28928	0.0714285714285714	3.12599956775448	7.15192277388596	6.00939176322218e-09	5.65086081147208e-06	4.89352063899309e-06	Cfh/Col8a1/Uchl3/Bmpr1b/Ring1/Dll4/Bfsp1/Maf/Spred1/Col8a2/Ninj1/Epha2/Crygf/Crygs/Cryba1/Crybb2/Nectin3/Pdgfra/Cryba4/Crygd/Crygb/Serpinf1/Fgfr2/Nfia/Cryge/Slc7a11/Cryaa/Inhba/Crybb1/Crybb3/Crygc/Th/Cyp1b1/Cryba2	34
BP	GO:0007601	visual perception	19/661	162/28928	0.117283950617284	5.13281410507835	8.06633414161183	6.3822688180168e-09	5.65086081147208e-06	4.89352063899309e-06	Cfh/Dll4/Crygf/Crygs/Cryba1/Crybb2/Cryba4/Gja10/Crygd/Crygb/Cryge/Col1a1/Rdh8/Cryaa/Crybb1/Crybb3/Crygc/Th/Cryba2	19
BP	GO:0048880	sensory system development	34/661	483/28928	0.0703933747412008	3.08069522619283	7.05166439702957	8.65224261346415e-09	6.05800683010172e-06	5.2461000975427e-06	Cfh/Col8a1/Uchl3/Bmpr1b/Ring1/Dll4/Bfsp1/Maf/Spred1/Col8a2/Ninj1/Epha2/Crygf/Crygs/Cryba1/Crybb2/Nectin3/Pdgfra/Cryba4/Crygd/Crygb/Serpinf1/Fgfr2/Nfia/Cryge/Slc7a11/Cryaa/Inhba/Crybb1/Crybb3/Crygc/Th/Cyp1b1/Cryba2	34
BP	GO:0050953	sensory perception of light stimulus	19/661	166/28928	0.114457831325301	5.0091318374861	7.92149968159247	9.57895816822047e-09	6.05800683010172e-06	5.2461000975427e-06	Cfh/Dll4/Crygf/Crygs/Cryba1/Crybb2/Cryba4/Gja10/Crygd/Crygb/Cryge/Col1a1/Rdh8/Cryaa/Crybb1/Crybb3/Crygc/Th/Cryba2	19
BP	GO:0032963	collagen metabolic process	16/661	127/28928	0.125984251968504	5.51357404076381	7.7952709662599	3.60039504685702e-08	1.99236860905451e-05	1.72534720534912e-05	Tgfbr3/Col1a2/Mrc2/Rap1a/Gli2/Prkcd/Tnxb/Rcn3/Nr1h4/Ctsk/Itgb1/Mmp15/Col1a1/Inhba/Ctss/Mmp14	16
BP	GO:0030198	extracellular matrix organization	26/661	333/28928	0.0780780780780781	3.41700853652442	6.78371851116965	6.48760785590355e-08	2.94130842632169e-05	2.54710812565563e-05	Col8a1/Tgfbr3/Tgfbi/Efemp2/Reck/Col1a2/Myh11/Col17a1/Tnxb/Col8a2/Tnfrsf1a/Fbln5/Itgb1/Phldb1/Abi3bp/Col9a3/Pdgfra/Col9a2/Mmp15/Pdpn/Col1a1/Vwa1/Loxl1/Ctss/Mmp14/Cyp1b1	26
BP	GO:0045229	external encapsulating structure organization	26/661	334/28928	0.0778443113772455	3.40677797204381	6.7652581484855	6.88666239223839e-08	2.94130842632169e-05	2.54710812565563e-05	Col8a1/Tgfbr3/Tgfbi/Efemp2/Reck/Col1a2/Myh11/Col17a1/Tnxb/Col8a2/Tnfrsf1a/Fbln5/Itgb1/Phldb1/Abi3bp/Col9a3/Pdgfra/Col9a2/Mmp15/Pdpn/Col1a1/Vwa1/Loxl1/Ctss/Mmp14/Cyp1b1	26
