category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signaling molecules and interaction	mmu04512	ECM-receptor interaction	12/270	89/10692	0.134831460674157	5.33932584269663	6.61634888553584	2.21665625012254e-06	0.000660563562536518	0.000564664013189111	21825/12843/16400/81877/320910/16412/12834/12841/231470/12840/12842/16403	12
NA	NA	mmu04518	Integrin signaling	15/270	153/10692	0.0980392156862745	3.88235294117647	5.7797450837543	7.19375266280026e-06	0.00107186914675724	0.000916256918104033	21825/12843/16400/81877/320910/16412/12834/12841/18595/19353/231470/17295/12840/12842/16403	15
Cellular Processes	Cellular community - eukaryotes	mmu04510	Focal adhesion	17/270	202/10692	0.0841584158415842	3.33267326732673	5.38712887751455	1.38306008174046e-05	0.00117250397544261	0.00100228174516818	21825/12843/109905/16400/81877/320910/16412/67268/12834/12841/12334/18595/19353/17295/12840/12842/16403	17
Human Diseases	Cancer: overview	mmu05205	Proteoglycans in cancer	17/270	204/10692	0.0833333333333333	3.3	5.33841205838909	1.57383083952028e-05	0.00117250397544261	0.00100228174516818	21825/12843/22350/16412/234779/19094/319757/19353/14733/17295/12512/17022/12842/29857/13179/21898/21859	17
Environmental Information Processing	Signal transduction	mmu04015	Rap1 signaling pathway	17/270	215/10692	0.0790697674418605	3.13116279069767	5.08080930825672	3.10641375104898e-05	0.00185142259562519	0.00158263605842917	21825/14679/109905/56508/16412/106952/13836/12388/16797/11600/19094/18595/19353/17295/14183/29857/56044	17
Organismal Systems	Immune system	mmu04670	Leukocyte transendothelial migration	12/270	119/10692	0.100840336134454	3.99327731092437	5.28490068987809	4.5245447776615e-05	0.00224719057290521	0.00192094708104225	14679/109905/56508/60363/22350/16412/12388/234779/67268/19094/19353/29857	12
Human Diseases	Infectious disease: parasitic	mmu05145	Toxoplasmosis	11/270	109/10692	0.100917431192661	3.99633027522936	5.06074023522518	9.32246637055616e-05	0.00396870711203677	0.00339253663409713	14679/21937/16145/16412/14961/19094/18035/29857/16403/17874/21898	11
Environmental Information Processing	Signal transduction	mmu04151	PI3K-Akt signaling pathway	22/270	368/10692	0.0597826086956522	2.36739130434783	4.29643491875531	0.000158318870313659	0.00589737791918378	0.00504120613367176	21825/12843/12986/16400/81877/320910/16412/13836/18127/12834/12841/11600/18595/19353/17295/12840/14183/12842/16403/21898/22628/231991	22
Organismal Systems	Development and regeneration	mmu04360	Axon guidance	14/270	181/10692	0.0773480662983425	3.06298342541436	4.50534985059346	0.000196547395795019	0.00650790266076842	0.00556309588098184	12167/14679/20562/16412/13836/231148/214968/234779/67268/319757/108151/14159/19353/17295	14
Organismal Systems	Immune system	mmu04611	Platelet activation	11/270	126/10692	0.0873015873015873	3.45714285714286	4.46555958582919	0.000338289903350122	0.0100810391198336	0.00861749016955048	12843/14679/109905/16412/234779/18127/67268/19094/18783/12842/29857	11
