	logFC	AveExpr	t	P.Value	adj.P.Val	B
Mybl1	-0.346812763048668	1.29673582736215	-6.02482726035171	0.000121795807450737	0.999789400686269	-0.502598067527298
Gm6977	-0.324043467495291	1.00153190923138	-6.01392008492108	0.000123593340396586	0.999789400686269	-0.508543277867342
Gm5446	0.266769581395985	2.37431391015117	5.12955514297109	0.0004282769721464	0.999789400686269	-1.04954563608694
Zfp977	-0.281691661506213	0.991847263198937	-4.9694679128675	0.00054271547043069	0.999789400686269	-1.16086216253428
Leng9	-0.293506993037659	1.89853930430007	-4.79621251760001	0.000704171126697848	0.999789400686269	-1.2862958324968
Gm48780	-0.276404199610824	0.586633176071813	-4.69356639678084	0.000823319086773672	0.999789400686269	-1.36309045285687
Gemin4	-0.572628465680688	0.914032889809756	-4.66479748404846	0.000860424659174141	0.999789400686269	-1.38494901093304
Efhd1	-0.316077992297152	1.00657384742719	-4.37549682982381	0.00134911530059341	0.999789400686269	-1.61301835879444
Nol7	-0.176388851027669	3.53205603060783	-4.30570373310784	0.00150636504833657	0.999789400686269	-1.67030755206924
Gm49588	-0.18821776375694	0.63348307273334	-4.1942857679265	0.00179872071408752	0.999789400686269	-1.76360080653024
Gm38379	0.20253985760021	0.583592867449393	4.15602654605924	0.00191241659530096	0.999789400686269	-1.79615711726234
Hnrnpa3	-0.142260615390011	5.9658308172006	-4.11597927551428	0.00203955444573139	0.999789400686269	-1.83051977574206
Nhej1	-0.208479673830992	0.762110094290098	-4.11455567709616	0.00204423420864574	0.999789400686269	-1.83174665462018
Ppp2r3d	-0.223101611353667	2.14845924344002	-4.03449396502675	0.00232644137029968	0.999789400686269	-1.9013357601064
Tpcn2	-0.278708653627411	2.89391402856116	-4.02699467966374	0.00235489239794509	0.999789400686269	-1.90791343219083
Gm47445	-0.190699459318125	0.834105513919864	-4.0268637990925	0.00235539216401907	0.999789400686269	-1.90802831845363
Fam89b	0.363794710276964	2.84677967775157	4.02273713561001	0.00237120695424073	0.999789400686269	-1.91165226546799
Gm2147	-0.191186213369561	0.250981725447532	-3.99944016856075	0.00246260176508774	0.999789400686269	-1.93216871408394
Nudt18	-0.236083465767233	1.52351398063729	-3.99232882701057	0.0024912295672691	0.999789400686269	-1.9384507697088
Ppp1r14b	-0.296886641942487	2.04594844985942	-3.96539909269009	0.00260283887836179	0.999789400686269	-1.9623224544347
Gm37885	0.280760835101499	0.723310091139184	3.95062603336624	0.00266627805834075	0.999789400686269	-1.97547318598906
Adra1d	-0.185561185422723	0.166928844798873	-3.85691763678079	0.00310825021455665	0.999789400686269	-2.05979768301722
Gm15272	0.194945790138477	0.177024618904871	3.84357952006188	0.00317712832056043	0.999789400686269	-2.07192680304339
Adap2	0.181277387448497	2.2447525684645	3.82261830924373	0.00328861042562489	0.999789400686269	-2.09105141560448
Gm15723	0.144078819422173	0.143768970030768	3.79043359260549	0.0034677973779837	0.999789400686269	-2.12056633998219
