ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0043588	skin development	16/150	351/28928	0.0455840455840456	8.7910351377018	10.6024791491601	4.94192815121218e-11	1.07289260162817e-07	9.27521883538034e-08	Fermt1/St14/Tmem79/Pkp3/Irf6/Ovol1/Cldn4/Krt5/Krt80/Gjb3/Evpl/Sfn/Ppl/Trp63/Asprv1/Tmprss11f	16
BP	GO:0031589	cell-substrate adhesion	15/150	377/28928	0.0397877984084881	7.67320954907162	9.41589916218708	1.32888694465778e-09	1.44250677842602e-06	1.24705548543411e-06	Epha1/Ptn/Fermt1/Olfm4/Fat2/Plet1/Ptk2b/Has2/Tacstd2/Ephb1/Msln/Lypd3/Muc4/Bves/Muc21	15
BP	GO:0008544	epidermis development	14/150	409/28928	0.0342298288508557	6.60133659331703	8.23669911360356	3.20648656475038e-08	2.32042744402436e-05	2.00602299822804e-05	Fermt1/St14/Tmem79/Pkp3/Irf6/Ovol1/Cldn4/Krt5/Krt80/Evpl/Sfn/Ppl/Trp63/Tmprss11f	14
BP	GO:0030216	keratinocyte differentiation	9/150	169/28928	0.0532544378698225	10.2702958579882	8.72603759607679	2.62500097019199e-07	0.00014247192765717	0.000123167808680324	St14/Tmem79/Irf6/Krt5/Krt80/Evpl/Sfn/Ppl/Trp63	9
BP	GO:0010810	regulation of cell-substrate adhesion	10/150	235/28928	0.0425531914893617	8.20652482269504	8.0082728587737	4.47941772604767e-07	0.00019449631766499	0.000168143195906168	Epha1/Ptn/Fermt1/Olfm4/Plet1/Ptk2b/Has2/Tacstd2/Muc4/Muc21	10
BP	GO:0031424	keratinization	6/150	64/28928	0.09375	18.08	9.87567112003753	1.02864068979583e-06	0.000315730479231254	0.000272950832490158	Tmem79/Krt5/Krt80/Evpl/Sfn/Ppl	6
BP	GO:0043616	keratinocyte proliferation	6/150	65/28928	0.0923076923076923	17.8018461538462	9.79061494648179	1.12842917059657e-06	0.000315730479231254	0.000272950832490158	Fermt1/Irf6/Ovol1/Has2/Sfn/Trp63	6
BP	GO:0009913	epidermal cell differentiation	10/150	261/28928	0.0383141762452107	7.38901660280971	7.48566125598004	1.16344718279596e-06	0.000315730479231254	0.000272950832490158	St14/Tmem79/Irf6/Ovol1/Krt5/Krt80/Evpl/Sfn/Ppl/Trp63	10
BP	GO:0061436	establishment of skin barrier	5/150	42/28928	0.119047619047619	22.9587301587302	10.2814693889177	2.55485473491388e-06	0.000616287736610892	0.000532784326590812	Tmem79/Cldn4/Sfn/Trp63/Tmprss11f	5
BP	GO:0010837	regulation of keratinocyte proliferation	5/150	51/28928	0.0980392156862745	18.9071895424837	9.24067094055192	6.7951476915781e-06	0.00147522656384161	0.00127534192990355	Irf6/Ovol1/Has2/Sfn/Trp63	5
BP	GO:0002064	epithelial cell development	9/150	262/28928	0.0343511450381679	6.62473282442748	6.60291974697205	9.76412349162476e-06	0.00192708291821067	0.00166597437182459	St14/Tmem79/S1pr3/Sdc1/Rab25/Sfn/Trp63/Tfcp2l1/Tjp3	9
BP	GO:2000647	negative regulation of stem cell proliferation	4/150	28/28928	0.142857142857143	27.5504761904762	10.1477423539754	1.29059606399218e-05	0.00233490337910584	0.00201853752815618	Fermt1/Irf6/Ovol1/Sfn	4
BP	GO:0098773	skin epidermis development	7/150	166/28928	0.0421686746987952	8.13236947791165	6.65342643037048	2.66848200040869e-05	0.00445636494068252	0.00385255336577223	Fermt1/Tmem79/Pkp3/Cldn4/Sfn/Trp63/Tmprss11f	7
BP	GO:0070293	renal absorption	4/150	42/28928	0.0952380952380952	18.3669841269841	8.13153194145047	6.66834363284854e-05	0.0103406957335101	0.00893959150178116	Slc5a1/Cldn4/Has2/Aqp3	4
BP	GO:0090136	epithelial cell-cell adhesion	3/150	17/28928	0.176470588235294	34.0329411764706	9.83574296756649	8.80954242088165e-05	0.0123172748808395	0.010648355651064	Serpinb8/Pkp3/Bves	3
BP	GO:0050678	regulation of epithelial cell proliferation	10/150	432/28928	0.0231481481481481	4.4641975308642	5.23744642325002	9.0776784013557e-05	0.0123172748808395	0.010648355651064	Ptn/Irf6/Ovol1/Fgfbp1/Arg1/Serpinb5/Has2/Sfn/Tacstd2/Trp63	10
BP	GO:0010811	positive regulation of cell-substrate adhesion	6/150	144/28928	0.0416666666666667	8.03555555555556	6.11042042876295	0.000108817374195769	0.0138966187870009	0.0120137076279292	Epha1/Ptn/Fermt1/Olfm4/Ptk2b/Has2	6
BP	GO:0110053	regulation of actin filament organization	8/150	284/28928	0.028169014084507	5.4324882629108	5.41947172728137	0.000123511535747311	0.0148968635615229	0.0128784250431261	Epha1/Capg/Scin/Cit/Baiap2l1/Ptk2b/Tmsb4x/Tacstd2	8
BP	GO:0045104	intermediate filament cytoskeleton organization	5/150	96/28928	0.0520833333333333	10.0444444444444	6.40836368243988	0.000146630853245962	0.0167123214340012	0.0144478989147975	Krt5/Krt80/Evpl/Ppl/Krt19	5
