category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
NA	NA	mmu04382	Cornified envelope formation	16/68	223/10688	0.0717488789237668	11.2772355579003	12.4102128058724	4.23623493246171e-13	6.05781595342024e-11	5.57399333218646e-11	66166/19143/74176/71913/20200/12836/12740/110308/74127/16782/14027/19041/16669/67855/53624/12821	16
Metabolism	Glycan biosynthesis and metabolism	mmu00541	Biosynthesis of various nucleotide sugars	2/68	21/10688	0.0952380952380952	14.96918767507	5.12719405019605	0.00774716075925285	0.346040374542009	0.318402994609872	67311/12763	2
Organismal Systems	Endocrine system	mmu04924	Renin secretion	3/68	76/10688	0.0394736842105263	6.20433436532508	3.64328771410338	0.0124393381946594	0.346040374542009	0.318402994609872	11555/18573/70405	3
Cellular Processes	Cell motility	mmu04820	Cytoskeleton in muscle cells	5/68	233/10688	0.0214592274678112	3.37288563494067	2.93030517326266	0.0161578998668162	0.346040374542009	0.318402994609872	53311/20969/21955/54418/98660	5
Organismal Systems	Circulatory system	mmu04261	Adrenergic signaling in cardiomyocytes	4/68	156/10688	0.0256410256410256	4.03016591251885	3.05065703093445	0.017271768593807	0.346040374542009	0.318402994609872	11555/98660/70405/23828	4
Metabolism	Glycan biosynthesis and metabolism	mmu00512	Mucin type O-glycan biosynthesis	2/68	32/10688	0.0625	9.82352941176471	3.99981885763155	0.0174947973758768	0.346040374542009	0.318402994609872	108148/14425	2
Organismal Systems	Digestive system	mmu04970	Salivary secretion	3/68	87/10688	0.0344827586206897	5.41987829614605	3.31220053284014	0.0178526712635654	0.346040374542009	0.318402994609872	11555/98660/70405	3
Cellular Processes	Cellular community - eukaryotes	mmu04530	Tight junction	4/68	170/10688	0.0235294117647059	3.69826989619377	2.83767966634619	0.0228822117863831	0.346040374542009	0.318402994609872	12740/53624/27375/23828	4
Metabolism	Global and overview maps	mmu01250	Biosynthesis of nucleotide sugars	2/68	38/10688	0.0526315789473684	8.27244582043344	3.59349952298749	0.0241986275903503	0.346040374542009	0.318402994609872	67311/12763	2
Organismal Systems	Excretory system	mmu04960	Aldosterone-regulated sodium reabsorption	2/68	38/10688	0.0526315789473684	8.27244582043344	3.59349952298749	0.0241986275903503	0.346040374542009	0.318402994609872	98660/55948	2
Metabolism	Glycan biosynthesis and metabolism	mmu00514	Other types of O-glycan biosynthesis	2/68	43/10688	0.0465116279069767	7.31053351573187	3.31777992659944	0.0304592840473251	0.373089411296799	0.34329169239676	108148/14425	2
Organismal Systems	Digestive system	mmu04974	Protein digestion and absorption	3/68	108/10688	0.0277777777777778	4.36601307189542	2.81322808748932	0.0313082023465845	0.373089411296799	0.34329169239676	12836/98660/12821	3
Organismal Systems	Immune system	mmu04670	Leukocyte transendothelial migration	3/68	119/10688	0.0252100840336134	3.96243203163618	2.60030942040351	0.0399875565438391	0.379122802014808	0.348843211276047	12740/19229/53624	3
Organismal Systems	Digestive system	mmu04973	Carbohydrate digestion and absorption	2/68	50/10688	0.04	6.28705882352941	2.99839782530452	0.040167854782666	0.379122802014808	0.348843211276047	20537/98660	2
NA	NA	mmu03272	Virion - Hepatitis viruses	2/68	52/10688	0.0384615384615385	6.04524886877828	2.9182010128796	0.0431302983028727	0.379122802014808	0.348843211276047	12740/53624	2
Human Diseases	Substance dependence	mmu05034	Alcoholism	4/68	208/10688	0.0192307692307692	3.02262443438914	2.35714543022562	0.0432223762246633	0.379122802014808	0.348843211276047	97114/70405/14282/319161	4
Metabolism	Amino acid metabolism	mmu00330	Arginine and proline metabolism	2/68	54/10688	0.037037037037037	5.82135076252723	2.84208709731811	0.0461719664505377	0.379122802014808	0.348843211276047	338403/11846	2
Organismal Systems	Digestive system	mmu04978	Mineral absorption	2/68	55/10688	0.0363636363636364	5.71550802139037	2.80544674118415	0.0477217513025632	0.379122802014808	0.348843211276047	20537/98660	2
Environmental Information Processing	Signal transduction	mmu04024	cAMP signaling pathway	4/68	224/10688	0.0178571428571429	2.80672268907563	2.18668761341512	0.0540829537830077	0.407045388998426	0.374535691018059	11555/98660/70405/23828	4
Metabolism	Lipid metabolism	mmu00561	Glycerolipid metabolism	2/68	63/10688	0.0317460317460317	4.98972922502334	2.54137837445527	0.0607760561554616	0.43454880151155	0.399842474706984	16956/11997	2
Human Diseases	Substance dependence	mmu05031	Amphetamine addiction	2/68	69/10688	0.0289855072463768	4.55583972719523	2.37107349267738	0.0712729606642534	0.481620408095746	0.443154589709004	70405/14282	2
Environmental Information Processing	Signal transduction	mmu04020	Calcium signaling pathway	4/68	255/10688	0.0156862745098039	2.46551326412918	1.89528856663636	0.078955704178086	0.481620408095746	0.443154589709004	11555/18573/19229/70405	4
Cellular Processes	Cell growth and death	mmu04115	p53 signaling pathway	2/68	75/10688	0.0266666666666667	4.19137254901961	2.21926496619012	0.0823109501012883	0.481620408095746	0.443154589709004	20724/55948	2
Organismal Systems	Digestive system	mmu04971	Gastric acid secretion	2/68	75/10688	0.0266666666666667	4.19137254901961	2.21926496619012	0.0823109501012883	0.481620408095746	0.443154589709004	98660/70405	2
Metabolism	Xenobiotics biodegradation and metabolism	mmu00980	Metabolism of xenobiotics by cytochrome P450	2/68	76/10688	0.0263157894736842	4.13622291021672	2.19550889612536	0.0841993720447108	0.481620408095746	0.443154589709004	12409/11529	2
Environmental Information Processing	Signal transduction	mmu04022	cGMP-PKG signaling pathway	3/68	172/10688	0.0174418604651163	2.74145006839945	1.84234119930097	0.0963685549290898	0.495280789166883	0.455723950282373	11555/98660/70405	3
Human Diseases	Infectious disease: viral	mmu05164	Influenza A	3/68	174/10688	0.0172413793103448	2.70993914807302	1.81966480732814	0.0989221455521538	0.495280789166883	0.455723950282373	77125/231382/214523	3
Organismal Systems	Development and regeneration	mmu04360	Axon guidance	3/68	181/10688	0.0165745856353591	2.60513487162821	1.74273580461887	0.108073800861812	0.495280789166883	0.455723950282373	13835/214230/270190	3
Environmental Information Processing	Signaling molecules and interaction	mmu04514	Cell adhesion molecule (CAM) interaction	3/68	181/10688	0.0165745856353591	2.60513487162821	1.74273580461887	0.108073800861812	0.495280789166883	0.455723950282373	20969/12740/53624	3
Metabolism	Lipid metabolism	mmu00590	Arachidonic acid metabolism	2/68	89/10688	0.0224719101123595	3.53205551883675	1.91935754337206	0.109872387214969	0.495280789166883	0.455723950282373	67103/12409	2
Environmental Information Processing	Signaling molecules and interaction	mmu04512	ECM-receptor interaction	2/68	89/10688	0.0224719101123595	3.53205551883675	1.91935754337206	0.109872387214969	0.495280789166883	0.455723950282373	20969/16782	2
Organismal Systems	Endocrine system	mmu04912	GnRH signaling pathway	2/68	90/10688	0.0222222222222222	3.49281045751634	1.90028463883506	0.111925778972377	0.495280789166883	0.455723950282373	19229/70405	2
Metabolism	Metabolism of cofactors and vitamins	mmu00785	Lipoic acid metabolism	1/68	19/10688	0.0526315789473684	8.27244582043344	2.53872430027199	0.114295566730819	0.495280789166883	0.455723950282373	117147	1
Metabolism	Amino acid metabolism	mmu00220	Arginine biosynthesis	1/68	21/10688	0.0476190476190476	7.48459383753501	2.38007905077278	0.125550374463592	0.527025142680138	0.484932961612199	11846	1
Organismal Systems	Excretory system	mmu04964	Proximal tubule bicarbonate reclamation	1/68	22/10688	0.0454545454545455	7.14438502673797	2.30838942222194	0.131124816625069	0.527025142680138	0.484932961612199	98660	1
Organismal Systems	Digestive system	mmu04976	Bile secretion	2/68	101/10688	0.0198019801980198	3.11240535818288	1.70675660986411	0.135137834137604	0.527025142680138	0.484932961612199	20537/98660	2
Metabolism	Metabolism of cofactors and vitamins	mmu00830	Retinol metabolism	2/68	102/10688	0.0196078431372549	3.08189158016148	1.69048901297977	0.137299703483569	0.527025142680138	0.484932961612199	56847/11529	2
