	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Aacs	1434.73407295164	-1.18090963607949	0.128324013411605	-9.20256158363492	3.49516448038055e-20	4.07292576039497e-19
PRXL2C	272.637398146551	1.79446913565626	0.273751850151022	6.55509409220905	5.56068037834885e-11	2.27606135124433e-10
AAK1	82.6552279126499	2.13982516928274	0.283307478733956	7.55301335088362	4.25301377286676e-14	2.44286250389233e-13
Aasdh	423.776867268765	1.60774687481339	0.159663615290039	10.069588314738	7.52925782731311e-24	1.39368283874525e-22
AASDHPPT	1023.31337134319	1.27502454630035	0.178087631687431	7.15953451802987	8.09514604274818e-13	4.05205129936715e-12
Aass	550.662108917505	1.42135561909895	0.131422079280705	10.8151965550862	2.91666782115751e-27	8.06909791817352e-26
ABCA1	911.358250282537	1.79279856489113	0.154386595680953	11.6123978055454	3.56476725159709e-31	1.54459858772018e-29
Abca5	754.177165112772	1.91976515976567	0.142552230883222	13.4671000788359	2.44272866224194e-41	2.93547283457855e-39
ABCA7	829.699504229012	-1.31553865059432	0.18361245185849	-7.16475727696399	7.79244947261206e-13	3.90561934792176e-12
ABCA9	678.268880344327	1.42606039899962	0.224838809832213	6.34259005402059	2.25934058865966e-10	8.64291890941629e-10
ABCB1	809.704344468601	1.3976062020248	0.212758670965677	6.56897411363442	5.06630901167608e-11	2.07924133451445e-10
ABCB7	308.206266369916	1.77708196217949	0.188094796711904	9.44779969060692	3.46027757235667e-21	4.50685771532517e-20
ABCC2	6.65616426151138	2.30590317880394	0.830901747962219	2.77518152351846	0.00551709047477088	0.00901081818676212
Abcc3	129.140591209917	-1.15077613993931	0.222286899638004	-5.17698587642076	2.2549927989543e-07	6.2351787225445e-07
ABCC9	339.687746576731	2.35726497957565	0.330282532366065	7.13711670638095	9.53089217609494e-13	4.73222025347619e-12
Abcd1	973.529139753744	-1.32966134946924	0.146089355636457	-9.10169905039556	8.89295650517734e-20	9.89807937500998e-19
Abce1	1192.53893369393	1.06141623259137	0.160801083972535	6.60080272078674	4.08937435251084e-11	1.69503520049372e-10
ABHD17A	2070.24046538749	-1.1247655446096	0.124653650328986	-9.0231256095679	1.8279778616053e-19	1.96217414286202e-18
Abhd18	37.0718716072644	3.26692674902056	0.509500512994929	6.41201856660954	1.43605342353811e-10	5.61784683643521e-10
ABHD6	182.956134431526	1.55917261379254	0.297207747746662	5.24606988079452	1.55377987951929e-07	4.35976689287957e-07
ABHD8	3623.21167576215	-1.36241076994784	0.148825536890991	-9.15441528657645	5.46529724584725e-20	6.23181632584303e-19
Abi1	741.118567065705	1.07937406314531	0.188360874133893	5.7303517416152	1.00222591753042e-08	3.19242888040027e-08
ABI3	305.974656405284	-1.78438884644684	0.226318219438178	-7.8844242009171	3.15989143704406e-15	2.06392569361409e-14
ABI3BP	23417.5057449188	1.41287880797034	0.152616830273763	9.25768675339365	2.08909000516867e-20	2.48910785898563e-19
Abl2	106.683030235791	2.77234232299377	0.377817179222974	7.33778789174018	2.17152942727649e-13	1.15659507099608e-12
ACADM	724.514168679734	1.74211322584587	0.284760079152545	6.1178281416077	9.48592866707624e-10	3.38701380587202e-09
Acads	1180.04533968136	-1.0587710054997	0.161809077544216	-6.54333503143778	6.01618433477725e-11	2.44946922809803e-10
ACADSB	213.191863685254	5.4037105340735	0.908199715864277	5.94991436319833	2.68282820571874e-09	9.13396712270157e-09
ACAP2	1139.915880386	1.95076111961923	0.188076519965495	10.3721672432961	3.31910370172149e-25	7.31439156731804e-24
ACBD3	1738.0153238052	1.04861971042404	0.122347777825407	8.57081124857409	1.02758553752971e-17	8.92508229152007e-17
ACBD5	765.341921599978	2.01540402306583	0.262819925023375	7.66838367709977	1.74177218273885e-14	1.04737840949527e-13
Acer2	775.922066689825	1.14257049597813	0.174150013831146	6.56084068466367	5.35052620954216e-11	2.19296014269058e-10
