	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	change
5HT1E	2.80084675530764	-2.17614697331632	1.55844440643288	-1.39635842275395	0.162606588810119	0.205979951336346	NOT
A1BG	7.56014758858581	-1.4526177723649	0.759293635214814	-1.91311727768393	0.0557330403530764	0.0779208895392675	NOT
A1CF	0.166107408145259	0.738834087676932	3.16074699792792	0.233752998313781	0.815176740601827	NA	NOT
A2M	581.945502322537	0.188689105194	0.146059381460385	1.29186570083604	0.196403657658069	0.244404260342724	NOT
A3galt2	2.79659132039647	-0.541946632800739	1.32533122403182	-0.408914106129688	0.682602696655805	0.731387202560574	NOT
A4GALT	351.212776953679	0.629491729530648	0.199305002266539	3.15843417060252	0.00158619128704348	0.00278239187789974	NOT
AAAS	244.310548335585	-0.40776318815297	0.164409725116234	-2.48016464880463	0.0131321727574174	0.020334113283128	NOT
Aacs	1434.73407295164	-1.18090963607949	0.128324013411605	-9.20256158363494	3.49516448037974e-20	4.07292576039402e-19	DOWN
AADAC	0.987768557858066	-0.974204416702028	1.83828210511701	-0.529953707317418	0.596144027541059	NA	NOT
AADACL4	0.284765899551297	0.161764719214586	3.16074699792792	0.0511792684832522	0.959182671545325	NA	NOT
Aadat	79.2495517546033	0.637907573738687	0.276744556937979	2.30504108480676	0.021164272545212	0.0317299064610575	NOT
AAGAB	2235.24838891759	-0.541489331089719	0.0937827137240098	-5.77387142670291	7.74705603221169e-09	2.50031925907428e-08	NOT
AAK1	82.6552279126499	2.13982516928274	0.283307478733954	7.55301335088367	4.25301377286517e-14	2.44286250389141e-13	UP
Aamdc	701.108898611769	-0.880513485807061	0.163853741763441	-5.37377710347485	7.71041628484965e-08	2.22977295156152e-07	NOT
AAMP	3345.64082049268	-0.858028816151931	0.102944088229705	-8.3349013130056	7.75628590172486e-17	6.09954957772658e-16	NOT
AANAT	52.2382388649717	-0.959482314832307	0.327959556286652	-2.92561169949162	0.0034377973637771	0.00577168730076613	NOT
AAR2	1185.40483953627	-0.398811604126211	0.1062149034303	-3.75476125521236	0.000173506783703205	0.000344105382532581	NOT
Aars1	3527.90635481365	-0.695397498605854	0.0698759783494715	-9.95188210643656	2.47458188493228e-23	4.29132114476081e-22	NOT
AARS2	206.691697435107	-0.963943718379816	0.220545536648099	-4.3707242188169	1.23835118216333e-05	2.82867803445744e-05	NOT
Aarsd1	3202.38687846162	-1.64661488110956	0.155972068719822	-10.557113812906	4.70918835381431e-26	1.16270843111351e-24	DOWN
Aasdh	423.776867268765	1.60774687481339	0.159663615290041	10.0695883147379	7.52925782732018e-24	1.39368283874656e-22	UP
AASDHPPT	1023.31337134319	1.27502454630034	0.17808763168743	7.15953451802988	8.0951460427477e-13	4.05205129936691e-12	UP
Aass	550.662108917505	1.42135561909894	0.131422079280702	10.8151965550865	2.91666782114796e-27	8.0690979181471e-26	UP
AATF	948.861734298975	-0.371974125638668	0.126143163396049	-2.94882509384032	0.00318984449898049	0.00538006448281995	NOT
Aatk	2973.9109455849	0.310628590588673	0.20263213673114	1.53296804544299	0.125283728415924	0.162680593490946	NOT
ABAT	451.010839106052	0.904829690668579	0.214991913664774	4.20866848080358	2.56879954250602e-05	5.6528289789453e-05	NOT
ABCA1	911.358250282537	1.79279856489113	0.154386595680956	11.6123978055452	3.56476725160753e-31	1.54459858772471e-29	UP
ABCA12	1.99359561377811	2.93125341280177	1.45132296094236	2.01971131973166	0.0434133402497214	0.0618547609967779	NOT
ABCA13	0.22423572336534	-0.415307531874039	3.16074699792792	-0.131395373355191	0.895462548461211	NA	NOT
ABCA2	4950.25371755559	-0.484820706370725	0.146229418148156	-3.31547996641495	0.000914858982002658	0.00165416493451718	NOT
ABCA3	137.107344168052	-0.449135774098724	0.244495252992215	-1.83699179678153	0.0662111064013364	0.0913416357547406	NOT
ABCA4	173.528073844075	-0.343765525068816	0.307226739290219	-1.11893100796829	0.263169573249199	0.318445120808621	NOT
Abca5	754.177165112772	1.91976515976567	0.142552230883222	13.4671000788359	2.44272866224076e-41	2.93547283457714e-39	UP
ABCA6	330.623865486864	0.653837918931696	0.293431731739943	2.22824544249075	0.0258641522762044	0.0382945798741531	NOT
ABCA7	829.699504229012	-1.31553865059432	0.18361245185849	-7.16475727696401	7.79244947261135e-13	3.9056193479214e-12	DOWN
Abca8a	4.31885833458467	2.36049757187088	0.954909713564008	2.47195890704766	0.0134374961385244	0.0207734236786717	UP
ABCA9	678.268880344327	1.42606039899962	0.224838809832211	6.34259005402063	2.25934058865914e-10	8.64291890941429e-10	UP
ABCB1	809.704344468601	1.3976062020248	0.212758670965677	6.56897411363444	5.06630901167526e-11	2.07924133451411e-10	UP
ABCB10	182.816069777225	0.878337402625089	0.236040691060604	3.7211270594	0.000198335609092263	0.000390127664841072	NOT
ABCB11	2.88974778210689	-0.190603522203946	1.21380818399873	-0.157029359924093	0.875221709264667	0.89930406465582	NOT
Abcb6	1508.96601096073	-0.37195789019252	0.097048305405038	-3.83270875921148	0.000126739967417058	0.000255439488837681	NOT
ABCB7	308.206266369916	1.7770819621795	0.188094796711906	9.44779969060681	3.46027757236025e-21	4.50685771532984e-20	UP
ABCB8	2472.43827463146	-0.738201628717535	0.118309432334238	-6.2395838958303	4.38736397288462e-10	1.62383139150412e-09	NOT
ABCB9	517.157363523198	-0.629818337109688	0.162205583176654	-3.88284006490558	0.00010324347912262	0.000210482597198694	NOT
ABCC1	849.989946627439	-0.0186603409562346	0.116078975442029	-0.160755562195272	0.872285926160366	0.896891852687083	NOT
Abcc10	248.070674090925	-0.145560112245252	0.164703610752463	-0.883770013178505	0.376820376964132	0.437155972430974	NOT
ABCC12	50.2175385503216	0.664481998992332	0.300438680113477	2.21170589200217	0.0269869931318396	0.0398164151937265	NOT
ABCC2	6.65616426151138	2.30590317880394	0.830901747962219	2.77518152351846	0.00551709047477082	0.00901081818676203	UP
Abcc3	129.140591209917	-1.15077613993931	0.222286899638005	-5.17698587642077	2.25499279895426e-07	6.23517872254438e-07	DOWN
ABCC4	285.789158462534	0.739992877212349	0.193056449789911	3.83303887550831	0.000126569941964694	0.000255130238147153	NOT
Abcc5	1403.35962320856	0.720524502933604	0.0838154468955928	8.59655981827726	8.21413179348125e-18	7.21174516251875e-17	NOT
ABCC6	235.550762410844	-0.221289716112195	0.163127544660235	-1.35654414815782	0.174926098551239	0.220261398814273	NOT
Abcc8	87.8913574008521	0.408433837028325	0.310381008094326	1.31591117490088	0.188203857571669	0.235113435975587	NOT
ABCC9	339.687746576731	2.35726497957565	0.330282532366065	7.13711670638095	9.530892176095e-13	4.73222025347622e-12	UP
Abcd1	973.529139753744	-1.32966134946924	0.146089355636457	-9.10169905039562	8.8929565051724e-20	9.89807937500447e-19	DOWN
ABCD2	11.8519713774321	1.6697631662086	0.87242945328061	1.91392342375623	0.0556299409490629	0.0777838152602933	NOT
ABCD3	1237.54193580433	0.774032118662113	0.11850403399943	6.53169426001003	6.50298034499665e-11	2.64067697113882e-10	NOT
Abcd4	599.735919750615	-0.370821243537643	0.121480238309026	-3.05252318154279	0.00226926202676313	0.0039040139241327	NOT
Abce1	1192.53893369393	1.06141623259137	0.160801083972536	6.60080272078672	4.08937435251116e-11	1.69503520049385e-10	UP
ABCF1	4089.30782922089	-0.702694393443178	0.0994584434526596	-7.06520602021736	1.60377872746864e-12	7.76008945766675e-12	NOT
ABCF2	1037.68042694494	-0.825703500425023	0.106396215453421	-7.76064728342247	8.44970125276548e-15	5.26207711214731e-14	NOT
ABCF3	2305.26827744897	-0.976903233536278	0.116063543067626	-8.4169689095832	3.86350156215891e-17	3.15772481557536e-16	NOT
Abcg1	557.716813001533	-0.888352104042882	0.141953324841705	-6.25805774562521	3.89801497291819e-10	1.4532056789488e-09	NOT
Abcg2	2502.35876780173	0.673098913752266	0.112691050770592	5.9729580046468	2.32989891949683e-09	8.0068152769661e-09	NOT
ABCG2	717.584137392746	1.24255603902178	0.138344197087151	8.98162745661833	2.66790825615732e-19	2.79930182784528e-18	UP
ABCG4	116.755858549793	-0.146689909424285	0.229630349730954	-0.638808892623096	0.522947262552722	0.582348135277345	NOT
Abcg5	43.2745494071087	-0.70647819853274	0.324505605167818	-2.17709089544812	0.0294737862332411	0.0431694705617705	NOT
Abcg8	3.3824457316264	1.0041041697027	1.42663351722379	0.703827687755908	0.481540088723253	0.542124690385792	NOT
Abhd1	66.0688221533305	-0.661783331616534	0.329923961426672	-2.00586622673546	0.044870522446112	0.0638141437005914	NOT
ABHD10	271.927211264225	0.268905747519701	0.140932030860059	1.90805273917265	0.0563844001948836	0.0787385241759146	NOT
ABHD11	518.748522318845	0.621719700590888	0.163899485095046	3.79329868077591	0.00014865916319478	0.000297163774952841	NOT
ABHD12	1322.11932952442	-0.748067117043849	0.117093895609129	-6.38860901460631	1.6740146495069e-10	6.51561066263035e-10	NOT
ABHD12B	5.12194907410113	-0.660666306312264	0.715098126970514	-0.923882025969152	0.355547742195915	0.415341956014041	NOT
ABHD13	422.408469030023	0.943191485508282	0.142741773773457	6.60767664976058	3.90398216642158e-11	1.62344021854276e-10	NOT
ABHD14A	1024.77417224937	-0.936286200875564	0.132582088545382	-7.06193582517806	1.64198822411739e-12	7.93997575082479e-12	NOT
ABHD14B	2081.28375813247	-0.826405167028344	0.127112427702803	-6.50137191117562	7.95907892204492e-11	3.20069416938287e-10	NOT
ABHD15	12.7942515537539	0.405237966479801	0.670725651411492	0.604178423215226	0.545725024544628	0.604431331188469	NOT
ABHD16A	2593.38200119207	-0.678362247397699	0.107822930974646	-6.29144692382006	3.14520358546811e-10	1.18258424716868e-09	NOT
ABHD17A	2070.24046538749	-1.12476554460959	0.124653650328989	-9.02312560956766	1.82797786160942e-19	1.96217414286644e-18	DOWN
ABHD17B	326.026636490738	0.766639821867126	0.171976887975572	4.45780727219592	8.28022961211676e-06	1.92862646719534e-05	NOT
ABHD17C	386.612020618243	-0.219627468413818	0.153632424024089	-1.42956455845143	0.152842033675053	0.19476565006956	NOT
Abhd18	37.0718716072644	3.26692674902056	0.509500512994929	6.41201856660952	1.43605342353825e-10	5.61784683643573e-10	UP
ABHD2	1692.39672225932	0.826340648028597	0.166517066607979	4.96249822832874	6.95922015291353e-07	1.82673591112826e-06	NOT
ABHD3	451.607520965575	-0.224423677160342	0.174552325479017	-1.28571003877757	0.198544276407369	0.246748651506677	NOT
Abhd4	2971.19041098933	-0.460761813048645	0.0707634542536574	-6.51129623204948	7.45050470493241e-11	3.00954998348924e-10	NOT
ABHD5	858.75748713166	-0.601237704007266	0.110521713411122	-5.43999622744504	5.32816994859397e-08	1.56617447256397e-07	NOT
ABHD6	182.956134431526	1.55917261379254	0.297207747746662	5.2460698807945	1.55377987951941e-07	4.3597668928799e-07	UP
