gene_id,control1,control2,control3,control4,control5,myopia1,myopia2,myopia3,myopia4,myopia5
A1BG,8,14,11,11,4,5,11,5,1,1
A1CF,0,0,0,0,0,1,0,0,1,0
A3galt2,1,2,4,0,8,6,5,2,0,0
A4GALT,185,204,190,291,353,667,403,391,592,447
AAAS,211,298,272,243,192,223,242,275,259,227
Aacs,1652,1889,2017,1600,1521,1036,964,905,1219,1011
AADACL3,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,1,0,0
Aadat,35,38,41,67,96,122,114,104,93,129
PRXL2C,50,79,80,120,221,547,511,490,503,418
AAGAB,2167,2320,2449,2470,2179,1902,2106,2115,2322,2184
AAK1,32,9,31,26,36,170,119,164,178,159
Aamdc,768,979,825,733,645,551,565,641,469,647
AAMP,3711,4103,3784,3745,3448,2986,2453,2784,3002,2687
AANAT,36,70,93,56,49,39,25,38,40,66
AAR2,1141,1310,1200,1121,1106,1178,1113,1272,1198,1209
Aars1,3435,3677,3884,4249,3879,3278,2941,3153,3333,3031
AARS2,207,300,264,246,175,123,110,170,216,205
Aasdh,134,186,131,215,261,773,692,719,786,759
AASDHPPT,367,419,458,600,819,1882,1609,1871,1343,1730
Aass,247,226,290,240,310,1083,905,986,861,840
AATF,920,1022,972,900,850,979,876,964,880,1125
Aatk,1403,2108,2467,2785,3053,3733,2623,3027,6318,3739
ABAT,207,243,218,251,476,667,556,606,1028,603
ABCA1,323,266,308,411,493,2046,1443,1635,1593,1545
ABCA12,0,0,0,1,1,6,1,9,2,3
ABCA13,1,0,0,0,0,0,1,0,0,0
ABCA2,4203,5064,5340,5294,5477,5301,3161,4549,6841,4466
ABCA3,110,189,101,99,173,119,81,153,157,133
ABCA4,133,200,140,130,253,100,121,266,126,282
Abca5,248,194,256,325,368,1392,1196,1470,1391,1526
ABCA6,166,234,165,212,362,644,607,530,362,199
ABCA7,991,1063,1232,1135,735,436,482,509,597,756
ABCA9,199,215,316,343,574,1263,1137,945,1507,934
ABCB1,171,143,244,271,336,788,669,607,926,833
ABCB10,64,84,97,168,163,356,215,272,307,239
ABCB11,1,0,6,0,7,6,1,5,3,1
Abcb5,0,0,0,0,0,0,4,0,0,1
Abcb6,1370,1433,1619,1660,1368,1416,1409,1556,1749,1564
ABCB7,91,138,76,149,161,659,491,588,564,488
ABCB8,2641,2808,3073,2535,2415,1996,2146,1988,2490,2204
ABCB9,583,506,698,514,428,487,445,421,524,494
ABCC1,691,738,642,904,775,989,1013,1057,924,937
Abcc10,214,214,248,277,186,277,296,222,282,294
ABCC12,26,31,43,44,27,57,40,85,90,91
ABCC2,0,1,5,3,1,22,9,18,10,6
Abcc3,127,182,186,129,156,133,73,79,78,105
ABCC4,172,175,183,179,231,502,280,323,599,401
Abcc5,837,840,986,1036,951,2146,1927,1948,2135,2042
ABCC6,241,220,217,242,182,237,235,279,231,286
Abcc8,52,69,95,66,49,100,55,97,168,172
ABCC9,44,39,86,120,214,821,481,685,825,530
Abcd1,1328,1297,1295,1097,1022,748,549,670,648,624
ABCD2,1,1,0,15,9,5,13,45,27,17
ABCD3,759,646,714,914,981,1718,1615,2108,1866,1826
Abcd4,561,605,658,577,553,570,508,587,698,699
Abce1,507,532,570,767,1057,1907,1650,2059,1823,1984
ABCF1,4451,4370,4706,4387,4172,3926,3312,3393,3958,3601
ABCF2,1169,1168,1067,1212,1175,976,745,830,951,876
ABCF3,2730,2739,2832,2673,2332,1990,1571,1797,2042,1690
Abcg1,640,579,721,568,653,532,328,473,520,442
ABCG4,60,114,108,110,154,108,88,145,155,156
Abcg5,47,38,63,51,35,21,34,51,35,51
Abcg8,2,1,0,2,5,0,20,0,4,1
Abhd1,84,63,101,43,59,58,32,47,79,85
ABHD10,215,188,215,207,255,306,357,404,344,322
ABHD11,248,299,330,489,448,726,683,692,962,623
ABHD12,1363,1591,1589,1359,1329,1207,943,1096,1334,1200
ABHD12B,7,6,7,2,5,6,4,4,3,6
ABHD13,253,178,238,300,300,687,615,680,645,617
ABHD14A,1113,1109,1301,1385,974,757,743,984,895,737
ABHD14B,2390,2648,2431,2080,2012,1735,1545,1796,1856,1843
ABHD15,8,1,15,10,15,21,12,30,20,3
ABHD16A,2857,2845,3011,2550,2634,2162,2202,2370,2510,2408
Abhd16b,0,0,0,0,0,0,0,0,0,0
ABHD17A,2508,2773,2589,2386,2085,1391,1480,1511,1683,1538
ABHD17B,168,190,192,222,295,599,327,518,533,435
ABHD17C,329,334,326,394,446,492,283,380,500,443
Abhd18,6,1,6,1,17,80,82,99,76,55
ABHD2,766,940,905,1198,1613,3114,2167,2438,2921,2035
ABHD3,380,470,449,483,345,527,313,551,633,429
Abhd4,2574,3040,3015,3224,3262,3152,2630,2816,3182,2840
ABHD5,786,914,954,886,1002,777,899,797,803,696
ABHD6,48,59,37,129,143,364,311,302,342,277
ABHD8,4841,5049,5160,4116,3442,2429,2337,2271,2587,2222
