	logFC	AveExpr	t	P.Value	adj.P.Val	B
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.577957396888783	-0.00823787298122527	-5.98840049762742	2.02705159342773e-05	0.000626266494953398	2.93461949309224
HALLMARK_DNA_REPAIR	-0.542633636960632	-0.0181500161115925	-5.87565488462672	2.50506597981359e-05	0.000626266494953398	2.72398797300221
HALLMARK_ANDROGEN_RESPONSE	0.481576086930781	0.00171817808129881	4.78601660377781	0.000210997335790688	0.00351662226317813	0.604398971762779
HALLMARK_ALLOGRAFT_REJECTION	-0.429616141404582	-0.000939161802300623	-4.50322337405306	0.000375153118425417	0.00468941398031772	0.0334622173597667
HALLMARK_UV_RESPONSE_DN	0.51003345870248	0.0193715198285912	4.39162980275594	0.00047177534631837	0.0047177534631837	-0.193521834175393
HALLMARK_PROTEIN_SECRETION	0.457702786727557	-0.0151855831880839	4.02747346601194	0.00100327510846769	0.00836062590389738	-0.938826888285102
HALLMARK_UV_RESPONSE_UP	-0.296420465570448	-0.0158338973651856	-3.71534407779911	0.00192664917655279	0.0137617798325199	-1.58004985919577
HALLMARK_P53_PATHWAY	-0.270524674787036	0.00446346846710574	-3.58777962327709	0.00251739532051317	0.0151215510714259	-1.84171215889897
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.527441310913012	-0.00207795844524689	-3.55054064658345	0.00272187919285667	0.0151215510714259	-1.91797529350562
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.354356029554484	-0.0251914318314695	-3.24380512006149	0.00517529755050829	0.0258764877525414	-2.54252850958968
HALLMARK_HEDGEHOG_SIGNALING	0.337045473310718	0.00437828810726483	3.19417182693728	0.00574068255857182	0.0260940116298719	-2.64274880134483
HALLMARK_COAGULATION	-0.293327694346441	0.00841398946711754	-3.1255047527967	0.00662460811260854	0.0276025338025356	-2.78089295198893
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.507954431370416	-0.0154797320242649	-2.84963557640153	0.0117323007795271	0.0451242337674121	-3.32843243657448
HALLMARK_BILE_ACID_METABOLISM	0.236149335838551	-0.0132221859879426	2.75828335845283	0.0141512066986677	0.0505400239238133	-3.50649232065227
HALLMARK_MYC_TARGETS_V1	-0.288966898874656	-0.000368696508305696	-2.48322748569777	0.0246922461360909	0.0823074871203031	-4.02981457446518
HALLMARK_MYOGENESIS	-0.324654647785722	-0.0234209834077492	-2.44672395539624	0.0265578017640321	0.0829931305126004	-4.09758896340583
HALLMARK_COMPLEMENT	-0.218702210226128	0.0073670681692916	-2.2990424738054	0.0355516065811867	0.104563548768196	-4.36709895105752
HALLMARK_MYC_TARGETS_V2	-0.261706894686939	-0.0436319199758916	-2.03097443755577	0.0594988922078757	0.162564437317674	-4.83422091646506
HALLMARK_PEROXISOME	0.188640287557124	-0.0117958695996454	1.98875082166913	0.0643997586773053	0.162564437317674	-4.90484284573401
