"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",81,0.593222126190279,2.27494788839509,6.48295291448478e-09,3.24147645724239e-07,2.04724828878467e-07,1287,"tags=25%, list=8%, signal=23%","ABCA1/ABCA2/ABCA3/ABCA4/ABCA6/ABCA9/ABCD2/ABCD3/ABCG4/ACSL1/ACSL5/AKR1D1/ALDH1A1/ALDH8A1/ALDH9A1/AMACR/APOA1/AQP9/ATXN1/BCAR3"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",105,0.521574835135739,2.07468730084594,1.64009770156427e-07,4.10024425391066e-06,2.58962794983831e-06,1704,"tags=26%, list=11%, signal=23%","ACAA2/ACADL/ACADM/ACADVL/ACOX1/ACSL1/ACSL4/ACSL5/ACSM3/ADIPOR2/ADSL/ALAD/ALDH1A1/ALDH3A1/ALDH3A2/ALDH9A1/ALDOA/AOC3/APEX1/AQP7/BCKDHB/BLVRA/BMPR1B/BPHL/CA2/CA4/CA6"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",115,0.452853412581738,1.8266670168339,5.92652875821107e-05,0.000987754793035178,0.00062384513244327,3565,"tags=37%, list=23%, signal=29%","ABCC2/ABCD2/ABHD6/ACOX1/ACOX2/ACOX3/ACP2/ACSM1/ADH5/AHCY/ALAS1/ALDH2/ALDH3A1/ALDH9A1/AOX1/AP4B1/APOE/AQP9/ARG1/ARG2/ARPP19/ASL/ATP2A2/BCAT1/BPHL/CA2/CAT/CBR1/CCL25/CDO1/CES1/CFB/CNDP2/CROT/CYFIP2/CYP17A1/CYP1A1/CYP27A1/DDAH2/DDC/DDT/DHRS1/DHRS7"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",140,0.419433434718656,1.73706867861998,8.1135940517431e-05,0.00101419925646789,0.000640546898821824,3703,"tags=36%, list=24%, signal=28%","ABCA1/ABCB8/ACAA2/ACADL/ACADM/ACLY/ACOX1/ADCY6/ADIPOQ/ADIPOR2/AK2/ALDH2/ALDOA/ANGPT1/ANGPTL4/APOE/ARAF/ARL4A/ATP1B3/BAZ2A/BCKDHA/BCL2L13/BCL6/C3/CAT/CCNG2/CD151/CDKN2C/CHCHD10/CHUK/CMPK1/COL15A1/COQ3/COQ5/COQ9/COX6A1/COX8A/CPT2/CRAT/CS/CYC1/CYP4B1/DBT/DDT/DGAT1/DHCR7/DHRS7/DHRS7B/DLAT/DLD/DNAJC15"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",140,0.407803113057596,1.6889021143754,0.000206199120784686,0.00206199120784686,0.00130231023653486,3274,"tags=31%, list=21%, signal=25%","ABCB7/ACAA2/ACADM/ACADSB/ACADVL/ACAT1/ALAS1/ATP1B1/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5F1E/ATP5MC1/ATP5MG/ATP5PD/ATP5PF/ATP6AP1/ATP6V0B/ATP6V0C/ATP6V0E1/ATP6V1C1/ATP6V1D/ATP6V1H/BAX/BCKDHA/BDH2/CASP7/COX10/COX11/COX17/COX4I1/COX5A/COX5B/COX6A1/COX6B1/COX6C/COX7A2/COX7A2L/COX7C/COX8A/CS/CYB5R3/CYC1"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",133,0.409483842097661,1.69239307319879,0.000626086371759237,0.00521738643132698,0.00329519143031177,3230,"tags=33%, list=21%, signal=26%","ACTB/ACTG1/ACTN1/ACTN2/ACTN3/ACTN4/ADAM23/ADAM9/ADAMTS5/ADRA1B/AKT2/AKT3/AMH/AMIGO1/AMIGO2/ARHGEF6/ARPC2/ATP1A3/B4GALT1/BAIAP2/CADM2/CAP1/CD276/CD34/CD86/CDH1/CDH3/CDH6/CDH8/CDSN/CERCAM/CLDN11/CLDN14/CLDN19/CLDN4/CLDN5/CNN2/CNTN1/COL16A1/COL17A1/CRAT/CRB3/CTNNA1/CX3CL1"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",136,0.390841925673113,1.62012908957233,0.0011680461627246,0.00834318687660429,0.00526938118522376,2636,"tags=29%, list=17%, signal=24%","ABL1/ACTN4/AKAP13/ALMS1/ALS2/ANLN/APC/ARAP3/ARF6/ARFGEF1/ARFIP2/ARHGAP10/ARHGAP4/ARHGEF11/ARHGEF12/ARHGEF2/ARHGEF3/ARL8A/AURKA/BCR/BIRC5/BRCA2/BUB1/CAPZB/CCDC88A/CCNB2/CD2AP/CDC27/CDC42EP1/CDC42EP2/CDC42EP4/CDK1/CDK5RAP2/CENPE/CENPF/CEP131/CEP192/CKAP5/CLASP1"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",118,0.381643731498821,1.53916599823288,0.00288203817652008,0.0180127386032505,0.0113764664862635,3686,"tags=35%, list=24%, signal=27%","ABCB1/AGO2/ALAS1/ALDOA/AMD1/AP2S1/APOM/AQP3/ARRB2/ASNS/ATF3/ATP6V1C1/BAK1/BMP2/BTG1/BTG2/BTG3/C4BPB/CA2/CASP3/CCK/CCND3/CCNE1/CDC5L/CDKN2B/CDO1/CEBPG/CHKA/CHRNA5/CLCN2/CLTB/CNP/COL2A1/CREG1/CYB5B/CYB5R1/CYP1A1/DGAT1/DLG4/DNAJA1/DNAJB1"
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",72,0.438388185431231,1.64729539390548,0.00330672153746288,0.0183706752081271,0.0116025317103961,495,"tags=14%, list=3%, signal=14%","ABCB1/ABCB9/ABCD2/ABCD3/ACOX1/ACSL1/ACSL4/ACSL5/ALDH1A1/ALDH9A1"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",105,0.397313770903671,1.5804095201996,0.00393843984543369,0.0196921992271684,0.0124371784592643,2318,"tags=23%, list=15%, signal=20%","ABCC1/ACVR2A/ADD3/ADORA2B/AGGF1/AKT3/AMPH/ANXA2/ANXA4/ARHGEF9/ATP2B1/ATP2B4/ATP2C1/ATRX/ATXN1/BCKDHB/BDNF/BHLHE40/BMPR1A/CAP2/CAV1/CCN1/CDK13/CDKN1B"
"HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE",33,0.525697699344877,1.71783940644917,0.00626552330299793,0.0284796513772633,0.0179871482382716,1444,"tags=27%, list=9%, signal=25%","ADAM10/ADIPOR2/AFAP1L2/AKAP7/APP/ATP6V0A4/ATP8B1/B4GALT1/BRCA1"
