"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",58,-0.812920309015664,-3.51032782057155,1e-10,6.1e-09,4e-09,2028,"tags=88%, list=13%, signal=77%","RPL6/RPS12/RPL11/RPS4X/RPL37A/RPS25/RPL38/RPS24/RPL4/RPS27/RPL12/RPS8/RPS13/RPL23/RPL37/RPS7/RPL30/RPS15A/RPS16/RPL26/RPL7A/RPS11/RPL31/RPL23A/RPL32/RPS14/RPS19/RPS17/RPL10A/RPLP0/RPS10/RPL10/RPS20/UBA52/RPS18/RPL36/RPL13/RPS21/RPSA/RPL34/RPL19/RPL13A/RPL35/RPLP1/RPS5/RPLP2/RPS9/RPS28/RPS15/RPL18A/RPL28"
"KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS","KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS","KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS",49,-0.595334998513255,-2.47807558272745,1.5855007602414e-07,4.83577731873628e-06,3.1710015204828e-06,3219,"tags=51%, list=21%, signal=41%","NDUFB8/COX6B1/COA5/ATP5F1E/CYC1/NDUFA6/NDUFB10/COX5A/NDUFA2/NDUFS3/SDHB/UQCRQ/NDUFA12/COA3/NDUFAF3/COX6A2/NDUFB11/NDUFA13/COX8A/NDUFV1/NDUFS7/NDUFS8/ATP5F1D/COX4I1/NDUFB7"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I",27,-0.59661600615715,-2.10874506013996,0.000103174598925104,0.00209788351147711,0.00137566131900138,4842,"tags=78%, list=31%, signal=54%","NDUFB1/NDUFB5/NDUFB4/NDUFS2/NDUFA4/NDUFA8/PINK1/NDUFS5/NDUFB8/NDUFA6/NDUFB10/NDUFA2/NDUFS3/NDUFC1/NDUFA12/NDUFB11/NDUFA13/NDUFV1/NDUFS7/NDUFS8/NDUFB7"
"KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I",26,-0.593964617221599,-2.08059866010878,0.000233929909475519,0.00263932471769131,0.00173070473291234,5148,"tags=77%, list=33%, signal=52%","NDUFB1/NDUFB5/NDUFB4/NDUFS2/NDUFA4/NDUFA8/NDUFS5/NDUFB8/NDUFA6/NDUFB10/NDUFA2/NDUFS3/NDUFC1/NDUFA12/NDUFB11/NDUFA13/NDUFV1/NDUFS7/NDUFS8/NDUFB7"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I",26,-0.593964617221599,-2.08059866010878,0.000233929909475519,0.00263932471769131,0.00173070473291234,5148,"tags=77%, list=33%, signal=52%","NDUFB1/NDUFB5/NDUFB4/NDUFS2/NDUFA4/NDUFA8/NDUFS5/NDUFB8/NDUFA6/NDUFB10/NDUFA2/NDUFS3/NDUFC1/NDUFA12/NDUFB11/NDUFA13/NDUFV1/NDUFS7/NDUFS8/NDUFB7"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",30,-0.563589376704171,-2.0575657887442,0.00025960570993685,0.00263932471769131,0.00173070473291234,5050,"tags=77%, list=32%, signal=52%","SEM1/PSMD1/PSMA2/SOD1/PSMA6/PSMC2/PSMD6/PSMC5/DERL1/PSMD2/PSMD9/RPS27A/PSMB2/PSMC4/PSMD4/PSMB5/PSMB1/PSMB6/PSMD8/UBB/PSMC3/PSMA7/UBA52"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I",27,-0.570130124597284,-2.01513045488897,0.000339802490096484,0.0029611359851265,0.00194172851483705,4842,"tags=74%, list=31%, signal=51%","NDUFB1/NDUFB5/NDUFB4/NDUFS2/NDUFA4/NDUFA8/NDUFS5/NDUFB8/NDUFA6/NDUFB10/NDUFA2/NDUFS3/NDUFC1/NDUFA12/NDUFB11/NDUFA13/NDUFV1/NDUFS7/NDUFS8/NDUFB7"
"KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",28,-0.557064146913091,-1.99026845340596,0.000703484040991966,0.00536406581256374,0.00351742020495983,5050,"tags=75%, list=32%, signal=51%","SEM1/PSMD1/PSMA2/PSMA6/PSMC2/PSMD6/PSMC5/PSMD2/PSMD9/RPS27A/PSMB2/PSMC4/PSMD4/PSMB5/PSMB1/PSMB6/PSMD8/UBB/PSMC3/PSMA7/UBA52"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",29,-0.559652271289446,-2.00930783653285,0.000931368451238772,0.00577081575819385,0.00378414148078285,5050,"tags=76%, list=32%, signal=51%","SEM1/VCP/PSMD1/PSMA2/PSMA6/PSMC2/PSMD6/PSMC5/PSMD2/PSMD9/RPS27A/PSMB2/PSMC4/PSMD4/PSMB5/PSMB1/PSMB6/PSMD8/UBB/PSMC3/PSMA7/UBA52"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I",30,-0.525960308623974,-1.92018867280757,0.000946035370195713,0.00577081575819385,0.00378414148078285,4842,"tags=70%, list=31%, signal=48%","NDUFB1/NDUFB5/NDUFB4/NDUFS2/NDUFA4/NDUFA8/NDUFS5/NDUFB8/CAPN1/NDUFA6/NDUFB10/NDUFA2/NDUFS3/NDUFC1/NDUFA12/NDUFB11/NDUFA13/NDUFV1/NDUFS7/NDUFS8/NDUFB7"
