SYMBOL	logFC	P.Value	padj	change
""	-1.32299348234471	5.41220662163495e-18	4.62278285325635e-17	DOWN
A1BG	-1.45219728114212	0.061091813027098	0.0821032556452918	NOT
A2M	0.188731587229911	0.196427097347669	0.238163415500202	NOT
A4GALT	0.629589329179538	0.00169373721109146	0.00284304542834457	NOT
AAAS	-0.407789368943974	0.0137718156719794	0.020451832575996	NOT
Aacs	-1.18088625908602	2.19568304057902e-20	2.47052025412518e-19	DOWN
Aadat	0.638125636711543	0.023234370513399	0.0333979925397728	NOT
AAGAB	-0.541476480789973	4.71346787479144e-09	1.49194722077275e-08	NOT
AAK1	2.13985528526452	1.2462693003377e-13	6.50751095549784e-13	UP
Aamdc	-0.88052091479815	7.8720643157887e-08	2.17985396512482e-07	NOT
AAMP	-0.857986638752528	3.48457298168568e-17	2.69679622522799e-16	NOT
AANAT	-0.959510345470383	0.00402862642775379	0.00644886255407445	NOT
AAR2	-0.398788044751292	0.000153735811966894	0.000294409491144225	NOT
Aars1	-0.695356996676381	1.96005518565633e-24	3.68315592912312e-23	NOT
AARS2	-0.964028537362884	1.51766180411895e-05	3.2883415500233e-05	NOT
Aarsd1	-1.64658917617283	2.87291168295285e-26	6.76969971808907e-25	DOWN
Aasdh	1.6077677097164	1.06508766981214e-23	1.83113149386934e-22	UP
AASDHPPT	1.27506715216691	8.06215212352828e-13	3.85243945494544e-12	UP
Aass	1.42142282100614	2.71206951350082e-27	7.09321584993805e-26	UP
AATF	-0.371951216274944	0.00306920461794216	0.0049932543640967	NOT
Aatk	0.310629724745872	0.124611098103694	0.15748272002464	NOT
ABAT	0.904843633815518	2.82122430191692e-05	5.92903257979435e-05	NOT
ABCA1	1.79288955781875	3.04113109598678e-31	1.24265165642385e-29	UP
ABCA2	-0.484779054337121	0.000853771415059505	0.00149270856270508	NOT
ABCA3	-0.449227098698576	0.0694673136924712	0.0924747174693297	NOT
ABCA4	-0.343864115010085	0.268426598570876	0.316511651120623	NOT
Abca5	1.91981082078426	1.67896847007537e-41	1.89056976351769e-39	UP
ABCA6	0.653920388144651	0.0270904070106184	0.0385761747092994	NOT
ABCA7	-1.31555427023606	8.0094998477185e-13	3.83100299136497e-12	DOWN
Abca8a	2.35931587713864	0.0151683065741464	0.0224128709080671	UP
ABCA9	1.42611436776885	2.58878321239777e-10	9.39413066816223e-10	UP
ABCB1	1.39769407065498	5.59352425020032e-11	2.18280624906627e-10	UP
ABCB10	0.878490382103177	0.000232860408964229	0.000436624366674888	NOT
Abcb6	-0.371930404047051	0.000104807136397979	0.000205041123210422	NOT
ABCB7	1.77713437468411	6.58138578498506e-21	7.89752187345379e-20	UP
ABCB8	-0.738187601086877	3.0812124782813e-10	1.10883057494822e-09	NOT
ABCB9	-0.629768360543759	0.000106402146839088	0.000207913375019656	NOT
ABCC1	-0.0186337223886111	0.871823039238833	0.892763738411109	NOT
Abcc10	-0.145530259213512	0.380039474471267	0.432291971616723	NOT
ABCC12	0.664440656635304	0.0296706353528533	0.0419708038060932	NOT
ABCC2	2.30670467923215	0.00651117152475287	0.0101090717989295	UP
Abcc3	-1.15071730653608	3.22244776892022e-07	8.39532445060795e-07	DOWN
ABCC4	0.740048397920565	0.00013785532328855	0.000265643876398355	NOT
Abcc5	0.720569755976776	2.48869045136361e-18	2.22894188512839e-17	NOT
ABCC6	-0.22128776693116	0.177788382228371	0.217621477574533	NOT
Abcc8	0.40837543934354	0.194258494363987	0.235824792228061	NOT
ABCC9	2.35741917883404	1.4924414985078e-12	6.92949466304331e-12	UP
Abcd1	-1.32958690936862	4.69132416567865e-20	5.08462327464553e-19	DOWN
ABCD2	1.67027400194938	0.0611399778541904	0.0821605004397524	NOT
ABCD3	0.774070155346394	4.76128890434393e-11	1.86941103614526e-10	NOT
Abcd4	-0.370803902332169	0.00220659329458809	0.00365518895996283	NOT
Abce1	1.06144257214801	3.7572307263586e-11	1.49227007120398e-10	UP
ABCF1	-0.702639406846389	8.28294634262053e-13	3.95282243610467e-12	NOT
ABCF2	-0.825642238405919	5.45939644729671e-15	3.3045366021368e-14	NOT
ABCF3	-0.976843142194877	2.12150505052775e-17	1.67618216391724e-16	NOT
Abcg1	-0.888278585426951	3.97147261952987e-10	1.41539484442342e-09	NOT
Abcg2	0.673139280470257	1.68407338021533e-09	5.62540000714591e-09	NOT
ABCG2	1.24261242045493	2.29248680924042e-19	2.2895377740762e-18	UP
ABCG4	-0.146681170318536	0.528522937924024	0.579344717048174	NOT
Abcg5	-0.706557070220144	0.032460381858587	0.0455804943166127	NOT
Abhd1	-0.661871300760135	0.0483517739672984	0.0660950071695783	NOT
ABHD10	0.268922972772795	0.0573515273983098	0.0774576433485139	NOT
ABHD11	0.621749424648826	0.000153309270721647	0.000293696760053897	NOT
ABHD12	-0.748035107332588	1.28192176478512e-10	4.8030551060059e-10	NOT
ABHD13	0.943262610654805	4.14322346720459e-11	1.63807797814889e-10	NOT
ABHD14A	-0.936250652098594	1.33477070653989e-12	6.21306490759543e-12	NOT
ABHD14B	-0.826383707145339	5.96569842245844e-11	2.32190019603389e-10	NOT
ABHD15	0.405508284925459	0.553879338822434	0.604220834711561	NOT
ABHD16A	-0.678337326706727	2.01704075765177e-10	7.41979257259883e-10	NOT
ABHD17A	-1.12475728528931	1.00195253496018e-19	1.05044789219599e-18	DOWN
ABHD17B	0.766719035136058	9.30473178564263e-06	2.06770259972905e-05	NOT
ABHD17C	-0.219571334917223	0.154426599673821	0.191295496455201	NOT
Abhd18	3.26744676925986	3.99765914871765e-10	1.42438333581483e-09	UP
ABHD2	0.826400338082235	6.58459148514363e-07	1.65664862693764e-06	NOT
ABHD3	-0.224394437007528	0.200651858449816	0.242926425147179	NOT
Abhd4	-0.460729585929406	2.79508145440448e-11	1.12774197302846e-10	NOT
ABHD5	-0.601230592237222	4.42475473399672e-08	1.26003005948235e-07	NOT
ABHD6	1.5593067698541	2.17524240203966e-07	5.76068234694561e-07	UP
ABHD8	-1.36237626904365	3.41154224917811e-20	3.74710794621194e-19	DOWN
Abi1	1.07941921342493	1.06748476153641e-08	3.24468735162242e-08	UP
ABI2	0.652318531140372	2.78859182512116e-09	9.06645757380696e-09	NOT
ABI3	-1.78429539107475	5.13170121951577e-15	3.1151327032542e-14	DOWN
ABI3BP	1.41293807135893	1.204525244566e-20	1.40347171268508e-19	UP
ABITRAM	0.592781232577067	0.000131617248836282	0.000254320937592874	NOT
ABL1	-0.788707040370692	9.73093560577698e-11	3.68810460228202e-10	NOT
Abl2	2.77275174077084	5.45136813832581e-13	2.65039984866328e-12	UP
Ablim1	0.443318982575598	1.9460618247385e-06	4.66163656653421e-06	NOT
Ablim2	-0.209412260541793	0.180048039109552	0.220076949362364	NOT
ABLIM3	-0.371106834655192	0.0565427955973652	0.0764493838548794	NOT
Abr	0.0634968241982536	0.510581304821493	0.561974692390825	NOT
ABRA	0.0955254275332535	0.802166065922786	0.831418749186834	NOT
ABRACL	-0.719123198866363	1.49329074159661e-06	3.61581282490013e-06	NOT
ABRAXAS1	-0.51511360976262	0.000384513623870361	0.000701454423164939	NOT
Abraxas2	0.903183707465874	1.24064708387938e-13	6.48044799373396e-13	NOT
ABT1	-0.651385492032596	1.02375289421169e-07	2.8033003420302e-07	NOT
ABTB1	-0.965634083774958	3.90353282259076e-08	1.11742698750313e-07	NOT
ABTB2	-0.193688703034819	0.128663036824205	0.162065271609758	NOT
Acaa1b	-0.793564620973308	1.65674429738319e-10	6.1573784657847e-10	NOT
ACAA2	0.159733062904904	0.135597645516633	0.170041729917186	NOT
ACACA	0.504198826746168	2.35889526872158e-08	6.89987390618919e-08	NOT
ACACB	-0.286807279036515	0.0336304413036269	0.0470845329982727	NOT
ACAD10	-0.419870957214134	0.00152585442944041	0.00257645131509564	NOT
ACAD11	0.644353952293983	1.8127233462934e-08	5.36829594080987e-08	NOT
ACAD8	0.041736298564698	0.695185579058081	0.735946783169639	NOT
Acad9	-0.470230105603367	6.70412658304119e-05	0.000134291921817546	NOT
ACAD9	0.713811051636566	0.000310401091539406	0.000572913726388611	NOT
ACADL	0.457274213460287	0.000263771618906502	0.00049127464021336	NOT
ACADM	1.74212920012663	1.12581090390058e-09	3.81590915520163e-09	UP
Acads	-1.05874044100885	5.57434673152098e-11	2.17647402426326e-10	DOWN
ACADSB	5.40366993756587	2.68637296836824e-09	8.75921477816091e-09	UP
ACADVL	-0.402774027836537	0.000776508386386437	0.00136555498421392	NOT
ACAN	-0.265833116209302	0.0434187808306721	0.0597676778679773	NOT
ACAP1	0.218870076844345	0.268983166745562	0.31709187985805	NOT
ACAP2	1.95082694314197	3.34184539835988e-25	6.96264992531166e-24	UP
ACAP3	-0.579523990157984	4.89239442340133e-07	1.25009025012287e-06	NOT
ACAT1	-0.652259520591771	5.50276896475128e-06	1.25516228543445e-05	NOT
Acat2	0.879997048715114	1.40590955791618e-05	3.05833533237304e-05	NOT
ACBD3	1.04865050499082	6.22885196991944e-18	5.277529891343e-17	UP
ACBD4	0.246376596225881	0.027916903933837	0.0396573815416053	NOT
ACBD5	2.01543148856156	2.19943147182016e-14	1.24401125923386e-13	UP
ACBD6	-0.794813296804698	8.74485588992364e-10	3.00059011938273e-09	NOT
Acbd7	0.482328382659851	0.134138935451209	0.168369931657658	NOT
Accs	0.669490773943074	1.18818697457319e-05	2.60856467657824e-05	NOT
ACD	0.0363223767366539	0.825175809614582	0.852154044219035	NOT
ACE	-0.644804423690266	2.74833164846369e-06	6.46684322004911e-06	NOT
Acer2	1.14263065855841	5.580443085995e-11	2.17827774441684e-10	UP
ACER3	0.753896976472374	3.24729252505207e-08	9.3812792865341e-08	NOT
Ache	-0.675526872173047	0.00310136273385238	0.00504334711575973	NOT
ACIN1	0.348620144421057	3.08713568682714e-06	7.21914053842537e-06	NOT
ACKR1	-0.569439188674143	0.00400891944075779	0.00641870950511431	NOT
ACKR2	-1.11217088386341	8.72675652244187e-09	2.67960835683889e-08	DOWN
ACKR3	-0.0929797510332735	0.500739691363116	0.552255042040921	NOT
Ackr4	0.797313603169953	1.68844662503383e-05	3.637014627026e-05	NOT
ACLY	-0.535124314018885	3.78845248432361e-08	1.08617031285243e-07	NOT
ACO1	0.342733553381205	0.00160365007581426	0.00270039295300641	NOT
Aco2	-0.968660033702463	3.40193376939721e-19	3.34285868903081e-18	NOT
Acod1	2.07537449217542	0.00231608113760649	0.00382752776841064	UP
Acot1	3.04107725045031	1.63375543080787e-12	7.5665702856662e-12	UP
Acot11	1.74247694082967	4.47203300072061e-07	1.14785033571654e-06	UP
ACOT12	0.779510674175552	0.158143631381715	0.19557148780279	NOT
Acot13	-0.282798526580575	0.0769206837014128	0.10144450668042	NOT
Acot2	-0.0177749914145594	0.877233664870353	0.897618881139191	NOT
Acot3	0.0218849295123607	0.91173145071067	0.926683017255777	NOT
Acot4	0.32070271872775	0.202396678140918	0.244732481264327	NOT
Acot7	-1.29886487231522	3.66670204494288e-22	5.07864055069976e-21	DOWN
Acot8	-1.02935000961683	4.25560036313912e-10	1.51045141859156e-09	DOWN
ACOT9	-0.115348336555527	0.260467879826453	0.307939544387273	NOT
ACOX1	1.21542236507971	1.4152512204162e-14	8.17079090111911e-14	UP
ACOX2	0.4624263210831	0.000547671260599431	0.000982690520022164	NOT
ACOX3	-0.333702691150338	0.00129530881805561	0.00220661743563209	NOT
Acp1	0.765459361391051	0.000113840049388348	0.000221683771422776	NOT
ACP2	-1.01211368025926	4.55002246781703e-14	2.48674996008777e-13	DOWN
ACP3	-0.615772199597866	0.0224467577710131	0.0323414850439749	NOT
Acp4	-1.52117771047275	6.59064306689398e-13	3.18019548183687e-12	DOWN
Acp5	-2.27890711648026	4.69821275857508e-17	3.59643676189627e-16	DOWN
ACP6	-0.380773756286087	0.0327073464567615	0.0458923302181764	NOT
Acr	0.882404022258432	0.0598935053704295	0.0807134202191856	NOT
ACRBP	-0.220988517331599	0.299292646733679	0.349028842751877	NOT
Acsbg1	0.824327508313363	0.00577684126569495	0.00904897371883468	NOT
acsbg2	-0.0998992038509674	0.734779677035477	0.77160497016803	NOT
Acsbg2	1.13140262879185	0.0103202729455025	0.0155945857630718	UP
Acsf2	-0.598520150951706	2.77780760248567e-09	9.03537815750078e-09	NOT
ACSF3	-0.72985380133667	8.78069285717646e-07	2.18053872619882e-06	NOT
ACSL1	0.61497663780329	3.44247106470302e-11	1.37354316135878e-10	NOT
ACSL3	0.694782184646767	3.67921393668719e-06	8.5440939515228e-06	NOT
ACSL4	1.3021543066163	4.08797817373377e-17	3.1423536238013e-16	UP
ACSL5	-0.204845215686451	0.104469772869712	0.134259768217557	NOT
ACSL6	1.52725205680179	3.95094698293308e-08	1.1303417173244e-07	UP
ACSM1	0.0212694597574802	0.972324069687593	0.977293019348711	NOT
ACSM3	2.1830514916816	0.0106321285590991	0.0160378902111945	UP
ACSM5	1.41578574414456	3.4287797873289e-12	1.52849593964607e-11	UP
Acss1	-0.434807635003738	0.000535880578366061	0.000963292031620492	NOT
Acss2	-0.0313299293940997	0.780851173960485	0.812523678547623	NOT
ACSS3	1.41733515757209	2.61175232197425e-11	1.05753385949608e-10	UP
Acta1	-1.03135714889104	0.00457134005541808	0.00725775881578647	DOWN
Acta2	-0.282754815417297	0.145697598974918	0.181626407713937	NOT
ACTB	-0.897737955189699	8.67488070162736e-27	2.17995170749072e-25	NOT
actc1	-0.584002761986253	0.0107155475906174	0.0161521604853053	NOT
ACTG1	-1.08576092690389	7.20214043873368e-44	9.57106068574419e-42	DOWN
Actg2	-1.02195156123688	0.000128486150148665	0.000248661663715949	DOWN
ACTL6A	0.525007841002323	0.00081555639675562	0.0014294525200264	NOT
ACTL6B	-0.978918135680135	0.0533742113524204	0.0724908380130332	NOT
ACTL7B	-1.75751314592641	0.00566443498306175	0.0088823302259109	DOWN
ACTN1	-0.0962642665632505	0.438185575308887	0.490452645980833	NOT
