Chromosome	Start	Stop	Strand	Gene Symbol	gene_biotype	gene_name	gene_source	TB66RL	TB66RR	TB65RL	TB61RR	TB68RR	TB61RL	TB64RL	TB64RR	TB65RR	TB68RL
7	45567794	45575328	-	0610005C13Rik	lncRNA	0610005C13Rik	havana	0.00935023	0.140692	0.0967194	0.1003	0.197065	0.137235	0.0325769	0.065834	0.0781746	0.212677
7	74818818	74853814	-	0610006L08Rik	lncRNA	0610006L08Rik	havana	0.0463511	0.017674	0.0537775	0.0112333	0.0001	0.0001	0.0650537	0.0282717	0.0335605	0.0638731
11	51685386	51688875	-	0610009B22Rik	protein_coding	0610009B22Rik	ensembl_havana	2.78442	4.28817	3.31737	5.41087	4.66159	5.51716	3.87566	3.25863	4.59534	4.58114
2	26445696	26459391	+	0610009E02Rik	lncRNA	0610009E02Rik	havana	0.999125	0.861224	0.858939	0.990967	0.864557	1.16047	0.682114	0.741955	1.00392	0.712233
11	120348678	120351191	+	0610009L18Rik	lncRNA	0610009L18Rik	ensembl_havana	0.0833521	0.114331	0.0752484	0.144833	0.186122	0.116137	0.140833	0.150349	0.133942	0.0957597
11	23564961	23633640	-	0610010F05Rik	protein_coding	0610010F05Rik	ensembl_havana	12.8117	13.0048	13.8059	15.1749	13.8533	15.2116	13.3481	12.4802	13.2616	12.9035
11	70235206	70237915	-	0610010K14Rik	protein_coding	0610010K14Rik	ensembl_havana	2.36392	2.84869	2.80053	2.12343	2.78975	3.44685	2.6115	2.34532	3.17979	2.80104
16	31947050	31948495	-	0610012G03Rik	protein_coding	0610012G03Rik	havana	5.39298	4.97353	5.38932	4.9433	5.50418	4.63103	4.55769	4.63904	5.48763	5.42081
6	72347317	72353149	+	0610030E20Rik	protein_coding	0610030E20Rik	ensembl_havana	12.4046	13.0312	12.3781	11.8126	11.9822	11.9097	12.2114	11.5411	12.1909	13.0523
8	77517056	77523899	+	0610038B21Rik	lncRNA	0610038B21Rik	havana	1.44314	1.02818	1.35277	1.85937	1.32414	2.07822	1.39661	1.18331	1.20468	1.05236
2	163644850	163645802	+	0610039K10Rik	lncRNA	0610039K10Rik	ensembl_havana	0.0001	0.017674	0.0108355	0.0001	0.0001	0.0422953	0.0542281	0.0188811	0.0112535	0.0001
5	143329247	143332705	+	0610040B10Rik	lncRNA	0610040B10Rik	havana	1.29513	1.37087	1.37424	1.3695	2.10106	1.65627	1.3966	1.40869	2.03004	1.44562
6	108577039	108660935	-	0610040F04Rik	lncRNA	0610040F04Rik	havana	0.148104	0.219774	0.204074	0.155967	0.21895	0.063393	0.216612	0.300598	0.167403	0.148904
5	63812363	63899626	+	0610040J01Rik	protein_coding	0610040J01Rik	ensembl_havana	0.166604	0.219774	0.225545	0.256167	0.208007	0.253272	0.303217	0.253645	0.18971	0.223306
4	101353783	101399182	+	0610043K17Rik	lncRNA	0610043K17Rik	havana	0.0556014	0.114331	0.0645129	0.0891667	0.0766975	0.0950394	0.0325769	0.0001	0.022407	0.0213577
18	25713770	25719148	+	0710001A04Rik	lncRNA	0710001A04Rik	havana	0.0186005	0.0264609	0.0001	0.0223667	0.0001	0.0422953	0.0001	0.0470528	0.022407	0.0319866
5	109995511	109996399	-	1010001B22Rik	lncRNA	1010001B22Rik	havana	0.0833521	0.0791828	0.0001	0.122567	0.021985	0.0422953	0.0650537	0.065834	0.122789	0.0213577
3	138065052	138081507	+	1110002E22Rik	protein_coding	1110002E22Rik	havana	1.48014	1.72235	1.3313	1.39177	1.26943	1.04443	1.63477	1.30539	1.46121	1.88141
10	66912489	66920259	-	1110002J07Rik	lncRNA	1110002J07Rik	havana	0.0463511	0.0352479	0.021571	0.0112333	0.0329275	0.063393	0.0001	0.00949057	0.0447141	0.0532443
12	3403878	3427012	-	1110002L01Rik	lncRNA	1110002L01Rik	ensembl_havana	24.6575	24.6637	24.7977	25.5152	24.8283	26.2219	23.5567	25.3831	24.7822	24.3272
5	65405751	65406518	+	1110003F10Rik	TEC	1110003F10Rik	havana	0.305358	0.369153	0.493933	0.5679	0.4378	0.242723	0.270741	0.469628	0.490855	0.329594
7	116039397	116105211	+	1110004F10Rik	protein_coding	1110004F10Rik	ensembl_havana	15.7623	17.0109	17.9307	18.7251	16.2464	19.659	17.4322	15.8235	17.4172	17.6008
5	115631049	115631817	-	1110006O24Rik	lncRNA	1110006O24Rik	havana	0.101853	0.114331	0.0645129	0.1671	0.0766975	0.063393	0.119182	0.0564434	0.178556	0.159533
