Chromosome	Start	Stop	Strand	Gene Symbol	gene_biotype	gene_name	gene_source	TB64SL	TB65SR	TB66SL	TB64SR	TB65SL	TB66SR	TB61SL	TB61SR	TB68SL	TB68SR
7	45567794	45575328	-	0610005C13Rik	lncRNA	0610005C13Rik	havana	0.166162	0.0001	0.029993	0.110358	0.0359235	0.0572033	0.0271387	0.0001	0.0744181	0.15925
11	51685386	51688875	-	0610009B22Rik	protein_coding	0610009B22Rik	ensembl_havana	3.76417	3.12405	3.6321	2.63251	3.72574	3.30066	3.13658	3.20836	2.78173	3.49079
2	26445696	26459391	+	0610009E02Rik	lncRNA	0610009E02Rik	havana	1.12102	1.10126	0.807211	1.36454	0.967334	0.719601	0.79774	0.639091	1.01932	0.901949
11	120348678	120351191	+	0610009L18Rik	lncRNA	0610009L18Rik	ensembl_havana	0.567477	0.287359	0.343869	0.330873	0.453864	0.434085	0.513834	0.319595	0.499093	0.40328
11	23564961	23633640	-	0610010F05Rik	protein_coding	0610010F05Rik	ensembl_havana	12.5377	12.7592	12.884	13.6169	11.2845	14.1616	15.5067	13.4455	13.887	14.5251
11	70235206	70237915	-	0610010K14Rik	protein_coding	0610010K14Rik	ensembl_havana	3.22317	4.04471	3.2739	3.55334	2.34196	2.84266	2.31043	3.41409	1.91885	2.71155
16	31947050	31948495	-	0610012G03Rik	protein_coding	0610012G03Rik	havana	9.50712	10.0183	9.92457	9.53739	9.50526	10.233	9.76105	9.25215	10.3197	8.44565
4	98321398	98331792	+	0610025J13Rik	lncRNA	0610025J13Rik	ensembl_havana	0.0001	0.0001	0.0001	0.0552289	0.0598058	0.0001	0.0001	0.0001	0.0107169	0.02132
6	72347317	72353149	+	0610030E20Rik	protein_coding	0610030E20Rik	ensembl_havana	18.4192	17.1997	19.7744	18.11	18.473	17.7821	20.7118	19.1964	18.2292	16.7214
3	138210716	138240406	-	0610031O16Rik	lncRNA	0610031O16Rik	havana	0.0001	0.0838839	0.0748325	0.0001	0.071747	0.034362	0.0001	0.0666615	0.0107169	0.0001
8	77517056	77523899	+	0610038B21Rik	lncRNA	0610038B21Rik	havana	0.788892	0.383112	0.538174	0.523824	0.51357	0.456926	0.865337	0.745589	0.743281	0.891339
